pickup_datetime,pickup_location_id,dropoff_datetime,passenger_count,fare_amount
2024-01-15 07:30:00,161,2024-01-15 07:45:00,1,18.50
2024-01-15 08:15:00,237,2024-01-15 08:35:00,2,24.00
2024-01-15 09:00:00,161,2024-01-15 09:12:00,1,15.00
2024-01-15 07:45:00,237,2024-01-15 08:10:00,1,28.50
2024-01-15 10:30:00,48,2024-01-15 10:50:00,3,22.00
2024-01-15 13:00:00,161,2024-01-15 13:25:00,1,30.00
2024-01-15 14:30:00,237,2024-01-15 14:50:00,2,26.00
2024-01-15 15:45:00,48,2024-01-15 16:10:00,1,32.50
2024-01-15 13:15:00,161,2024-01-15 13:40:00,1,27.00
2024-01-15 16:00:00,142,2024-01-15 16:30:00,2,35.00
2024-01-15 19:00:00,237,2024-01-15 19:20:00,1,22.00
2024-01-15 20:15:00,161,2024-01-15 20:40:00,2,29.50
2024-01-15 21:30:00,48,2024-01-15 21:55:00,1,31.00
2024-01-15 19:45:00,142,2024-01-15 20:15:00,3,38.00
2024-01-15 22:00:00,237,2024-01-15 22:25:00,1,28.00
2024-01-15 00:30:00,161,2024-01-15 00:55:00,1,26.50
2024-01-15 01:45:00,48,2024-01-15 02:10:00,2,30.00
2024-01-15 03:00:00,237,2024-01-15 03:20:00,1,24.00
2024-01-15 23:30:00,142,2024-01-15 23:50:00,1,22.50
2024-01-15 04:15:00,161,2024-01-15 04:40:00,1,28.00
2024-01-16 07:00:00,161,2024-01-16 07:18:00,1,19.50
2024-01-16 08:30:00,237,2024-01-16 08:55:00,2,31.00
2024-01-16 09:15:00,48,2024-01-16 09:35:00,1,24.50
2024-01-16 07:20:00,142,2024-01-16 07:45:00,1,27.00
2024-01-16 10:00:00,161,2024-01-16 10:22:00,3,26.00
2024-01-16 12:30:00,237,2024-01-16 13:00:00,1,36.00
2024-01-16 14:00:00,161,2024-01-16 14:28:00,2,33.50
2024-01-16 15:15:00,48,2024-01-16 15:40:00,1,29.00
2024-01-16 13:45:00,142,2024-01-16 14:10:00,1,28.50
2024-01-16 16:30:00,237,2024-01-16 17:00:00,2,37.00
2024-01-16 18:15:00,161,2024-01-16 18:40:00,1,30.00
2024-01-16 19:30:00,48,2024-01-16 20:00:00,2,35.50
2024-01-16 20:45:00,237,2024-01-16 21:10:00,1,29.00
2024-01-16 19:00:00,142,2024-01-16 19:35:00,3,42.00
2024-01-16 21:15:00,161,2024-01-16 21:45:00,1,34.00
2024-01-16 23:00:00,48,2024-01-16 23:30:00,1,32.00
2024-01-16 00:15:00,237,2024-01-16 00:40:00,2,29.50
2024-01-16 02:30:00,161,2024-01-16 02:50:00,1,23.00
2024-01-16 01:00:00,142,2024-01-16 01:25:00,1,27.50
2024-01-16 04:45:00,48,2024-01-16 05:10:00,1,26.00
2024-01-17 06:30:00,237,2024-01-17 06:55:00,1,25.50
2024-01-17 08:00:00,161,2024-01-17 08:20:00,2,23.00
2024-01-17 09:30:00,142,2024-01-17 09:50:00,1,21.50
2024-01-17 07:15:00,48,2024-01-17 07:40:00,1,26.00
2024-01-17 10:45:00,237,2024-01-17 11:10:00,3,29.00
2024-01-17 12:00:00,161,2024-01-17 12:30:00,1,34.50
2024-01-17 13:30:00,48,2024-01-17 14:00:00,2,36.00
2024-01-17 15:00:00,237,2024-01-17 15:25:00,1,30.00
2024-01-17 14:15:00,142,2024-01-17 14:45:00,1,32.50
2024-01-17 16:45:00,161,2024-01-17 17:15:00,2,38.00
