Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,149.55,150.17,148.08,149.72,146.73,41598928
2019-01-03,148.89,150.22,148.83,149.38,146.39,19672546
2019-01-04,149.50,151.19,148.10,149.76,146.76,33153498
2019-01-07,149.20,154.02,147.58,152.84,149.78,5436124
2019-01-08,152.69,153.52,152.26,152.96,149.90,27588477
2019-01-09,152.16,152.92,150.93,151.65,148.62,28082477
2019-01-10,152.11,153.18,146.46,148.41,145.44,30403012
2019-01-11,147.57,148.16,144.74,146.00,143.08,29268915
2019-01-14,145.09,145.55,142.44,143.02,140.16,10354748
2019-01-15,143.73,145.46,140.74,141.50,138.67,35427850
2019-01-16,141.24,141.66,139.68,140.21,137.41,48488918
2019-01-17,139.35,140.62,137.67,138.74,135.97,21428983
2019-01-18,139.72,141.11,138.61,139.83,137.03,26762245
2019-01-21,140.52,143.18,140.06,141.63,138.80,7154210
2019-01-22,140.76,144.23,139.63,142.40,139.55,26117675
2019-01-23,141.83,142.83,138.64,140.41,137.60,48141058
2019-01-24,139.90,141.02,138.32,138.85,136.07,44230901
2019-01-25,138.71,140.48,137.99,139.31,136.52,14283286
2019-01-28,138.40,138.66,137.15,138.44,135.67,33330675
2019-01-29,138.63,139.40,137.24,138.43,135.66,36410296
2019-01-30,139.15,139.17,131.60,133.04,130.38,41035468
2019-01-31,133.54,135.08,131.43,132.11,129.47,24696460
2019-02-01,133.02,134.77,129.62,130.15,127.55,38593765
2019-02-04,130.67,132.06,130.46,131.04,128.42,46963185
2019-02-05,131.26,131.57,128.71,130.24,127.64,41197113
2019-02-06,131.15,134.78,129.31,132.94,130.28,45194490
2019-02-07,133.80,135.56,131.14,132.80,130.14,25636923
2019-02-08,132.28,133.67,131.15,133.19,130.53,10285296
2019-02-11,132.33,136.73,130.80,135.21,132.51,13616205
2019-02-12,135.53,138.34,135.20,136.45,133.72,40411588
2019-02-13,135.87,139.06,134.41,137.98,135.22,18499019
2019-02-14,138.41,139.21,135.12,136.46,133.73,30059825
2019-02-15,135.70,136.15,133.53,134.21,131.53,44480729
2019-02-18,134.32,136.35,134.31,135.17,132.47,47352602
2019-02-19,134.23,136.58,133.20,135.92,133.20,23688292
2019-02-20,136.26,136.69,135.98,136.24,133.52,43322053
2019-02-21,136.19,137.00,134.74,134.93,132.23,49223583
