trip_id,start_time,end_time,start_station,end_station,duration_minutes,member_type
4,2023-06-01 00:17:55,2023-06-01 00:50:55,Harbor View,Harbor View,33,casual
1,2023-06-01 00:19:05,2023-06-01 00:27:05,Midtown,Downtown,8,casual
2,2023-06-01 00:19:13,2023-06-01 00:40:13,Harbor View,Pine Road,21,member
3,2023-06-01 00:51:49,2023-06-01 01:04:49,Pine Road,University,13,casual
6,2023-06-01 00:58:52,2023-06-01 01:20:52,Market Square,Elm Street,22,member
5,2023-06-01 00:59:53,2023-06-01 01:25:53,Tech Campus,Maple Drive,26,member
7,2023-06-01 01:26:38,2023-06-01 01:42:38,Tech Campus,Harbor View,16,casual
9,2023-06-01 01:28:50,2023-06-01 01:45:50,Riverside,Pine Road,17,member
10,2023-06-01 01:36:05,2023-06-01 01:53:05,City Hall,Central Park,17,member
8,2023-06-01 01:48:03,2023-06-01 01:53:03,Pine Road,Pine Road,5,member
13,2023-06-01 02:11:43,2023-06-01 02:24:43,Oak Avenue,Downtown,13,member
12,2023-06-01 02:26:50,2023-06-01 02:54:50,Downtown,Maple Drive,28,member
11,2023-06-01 02:41:48,2023-06-01 02:44:48,Central Park,Downtown,3,member
14,2023-06-01 03:23:11,2023-06-01 03:45:11,University,Midtown,22,member
16,2023-06-01 03:39:40,2023-06-01 03:56:40,Riverside,Midtown,17,member
15,2023-06-01 03:53:56,2023-06-01 04:09:56,Union Station,Midtown,16,member
18,2023-06-01 04:38:16,2023-06-01 05:10:16,Central Park,Oak Avenue,32,member
19,2023-06-01 04:45:33,2023-06-01 05:23:33,University,Lakeside,38,casual
17,2023-06-01 04:54:10,2023-06-01 05:13:10,Union Station,University,19,member
20,2023-06-01 05:07:14,2023-06-01 05:29:14,Maple Drive,Riverside,22,member
21,2023-06-01 05:55:52,2023-06-01 06:14:52,Harbor View,University,19,member
24,2023-06-01 06:18:16,2023-06-01 06:36:16,Riverside,Tech Campus,18,member
23,2023-06-01 06:26:11,2023-06-01 06:29:11,University,Lakeside,3,member
22,2023-06-01 06:54:13,2023-06-01 06:57:13,Market Square,Maple Drive,3,casual
62,2023-06-01 07:02:32,2023-06-01 07:07:32,Tech Campus,Harbor View,5,casual
51,2023-06-01 07:02:41,2023-06-01 07:12:41,Maple Drive,Maple Drive,10,casual
64,2023-06-01 07:05:18,2023-06-01 07:08:18,Harbor View,University,3,member
34,2023-06-01 07:07:20,2023-06-01 07:31:20,Union Station,Central Park,24,member
43,2023-06-01 07:07:22,2023-06-01 07:41:22,Central Park,Downtown,34,member
49,2023-06-01 07:09:01,2023-06-01 07:43:01,Pine Road,Harbor View,34,member
40,2023-06-01 07:10:45,2023-06-01 07:31:45,Harbor View,University,21,member
66,2023-06-01 07:15:33,2023-06-01 08:00:33,University,Market Square,45,member
55,2023-06-01 07:15:49,2023-06-01 07:35:49,Downtown,Riverside,20,member
32,2023-06-01 07:16:10,2023-06-01 07:53:10,Elm Street,Harbor View,37,casual
30,2023-06-01 07:16:32,2023-06-01 07:31:32,Oak Avenue,University,15,member
50,2023-06-01 07:17:38,2023-06-01 07:44:38,Pine Road,Union Station,27,member
58,2023-06-01 07:19:57,2023-06-01 07:44:57,Pine Road,Oak Avenue,25,member
37,2023-06-01 07:20:27,2023-06-01 07:44:27,Harbor View,Lakeside,24,casual
48,2023-06-01 07:23:37,2023-06-01 07:39:37,Midtown,City Hall,16,casual
31,2023-06-01 07:25:42,2023-06-01 07:28:42,Elm Street,Union Station,3,member
26,2023-06-01 07:25:43,2023-06-01 07:48:43,Riverside,Maple Drive,23,member
46,2023-06-01 07:26:58,2023-06-01 07:30:58,City Hall,Riverside,4,casual
27,2023-06-01 07:27:47,2023-06-01 07:41:47,Elm Street,Union Station,14,member
39,2023-06-01 07:28:03,2023-06-01 07:47:03,Central Park,Union Station,19,member
68,2023-06-01 07:29:42,2023-06-01 07:41:42,Maple Drive,Oak Avenue,12,casual
60,2023-06-01 07:30:17,2023-06-01 07:37:17,Oak Avenue,Oak Avenue,7,member
42,2023-06-01 07:31:07,2023-06-01 07:49:07,Downtown,Maple Drive,18,casual
44,2023-06-01 07:32:52,2023-06-01 08:01:52,Market Square,Oak Avenue,29,casual
67,2023-06-01 07:35:04,2023-06-01 08:03:04,Elm Street,University,28,member
38,2023-06-01 07:35:54,2023-06-01 07:47:54,Midtown,Pine Road,12,member
45,2023-06-01 07:37:13,2023-06-01 07:40:13,Elm Street,Lakeside,3,member
54,2023-06-01 07:38:24,2023-06-01 08:13:24,City Hall,University,35,member
29,2023-06-01 07:38:42,2023-06-01 08:09:42,Maple Drive,Lakeside,31,member
36,2023-06-01 07:39:53,2023-06-01 07:42:53,Lakeside,Midtown,3,member
57,2023-06-01 07:41:09,2023-06-01 08:07:09,University,Maple Drive,26,casual
25,2023-06-01 07:41:29,2023-06-01 08:08:29,Downtown,Tech Campus,27,casual
63,2023-06-01 07:41:43,2023-06-01 07:53:43,Elm Street,Pine Road,12,member
59,2023-06-01 07:42:06,2023-06-01 08:05:06,Harbor View,Harbor View,23,casual
47,2023-06-01 07:43:06,2023-06-01 08:02:06,Pine Road,Pine Road,19,member
61,2023-06-01 07:48:27,2023-06-01 08:11:27,University,Pine Road,23,member
56,2023-06-01 07:49:25,2023-06-01 08:03:25,Market Square,Pine Road,14,casual
65,2023-06-01 07:51:30,2023-06-01 08:00:30,Pine Road,Midtown,9,member
52,2023-06-01 07:51:36,2023-06-01 08:01:36,Central Park,Riverside,10,casual
53,2023-06-01 07:51:41,2023-06-01 08:05:41,Maple Drive,City Hall,14,member
35,2023-06-01 07:53:17,2023-06-01 08:10:17,Market Square,Midtown,17,casual
33,2023-06-01 07:56:29,2023-06-01 08:19:29,Elm Street,University,23,member
41,2023-06-01 07:57:59,2023-06-01 08:04:59,Maple Drive,Elm Street,7,member
28,2023-06-01 07:59:15,2023-06-01 08:14:15,Harbor View,Midtown,15,member
90,2023-06-01 08:01:27,2023-06-01 08:07:27,Market Square,Midtown,6,member
75,2023-06-01 08:07:00,2023-06-01 08:21:00,Central Park,Pine Road,14,member
79,2023-06-01 08:07:52,2023-06-01 08:30:52,Union Station,Maple Drive,23,casual
83,2023-06-01 08:09:47,2023-06-01 08:29:47,Maple Drive,Harbor View,20,casual
73,2023-06-01 08:11:13,2023-06-01 08:34:13,Central Park,City Hall,23,casual
82,2023-06-01 08:19:49,2023-06-01 08:25:49,Union Station,City Hall,6,member
88,2023-06-01 08:25:31,2023-06-01 08:28:31,Midtown,Pine Road,3,casual
95,2023-06-01 08:29:08,2023-06-01 08:32:08,Midtown,Market Square,3,casual
70,2023-06-01 08:29:11,2023-06-01 08:51:11,Union Station,City Hall,22,member
84,2023-06-01 08:30:01,2023-06-01 08:56:01,Riverside,Market Square,26,member
93,2023-06-01 08:30:22,2023-06-01 08:51:22,Harbor View,Riverside,21,member
94,2023-06-01 08:37:58,2023-06-01 08:46:58,Downtown,Downtown,9,casual
74,2023-06-01 08:38:16,2023-06-01 08:59:16,Elm Street,Union Station,21,member
87,2023-06-01 08:38:46,2023-06-01 08:41:46,Elm Street,Market Square,3,member
77,2023-06-01 08:39:52,2023-06-01 08:42:52,Oak Avenue,Tech Campus,3,casual
81,2023-06-01 08:40:54,2023-06-01 09:11:54,Lakeside,Elm Street,31,member
86,2023-06-01 08:40:54,2023-06-01 08:51:54,Downtown,Harbor View,11,casual
92,2023-06-01 08:41:22,2023-06-01 08:48:22,Central Park,Market Square,7,casual
76,2023-06-01 08:44:25,2023-06-01 09:19:25,Oak Avenue,Maple Drive,35,member
78,2023-06-01 08:44:43,2023-06-01 08:55:43,Central Park,Central Park,11,member
71,2023-06-01 08:45:19,2023-06-01 08:48:19,Tech Campus,Oak Avenue,3,casual
72,2023-06-01 08:48:42,2023-06-01 08:51:42,Tech Campus,Midtown,3,casual
69,2023-06-01 08:49:32,2023-06-01 09:17:32,Union Station,City Hall,28,casual
85,2023-06-01 08:53:25,2023-06-01 09:00:25,Union Station,Tech Campus,7,member
80,2023-06-01 08:54:01,2023-06-01 09:15:01,Pine Road,Riverside,21,member
89,2023-06-01 08:55:31,2023-06-01 09:11:31,Riverside,Maple Drive,16,member
91,2023-06-01 08:56:30,2023-06-01 09:08:30,City Hall,Harbor View,12,member
118,2023-06-01 09:00:45,2023-06-01 09:16:45,Lakeside,Elm Street,16,casual
104,2023-06-01 09:02:49,2023-06-01 09:27:49,Midtown,Elm Street,25,member
102,2023-06-01 09:04:21,2023-06-01 09:37:21,University,City Hall,33,member
119,2023-06-01 09:05:21,2023-06-01 09:11:21,Central Park,University,6,member
108,2023-06-01 09:06:52,2023-06-01 09:21:52,Elm Street,Union Station,15,member
103,2023-06-01 09:07:35,2023-06-01 09:26:35,Tech Campus,Lakeside,19,member
105,2023-06-01 09:09:54,2023-06-01 09:22:54,Pine Road,City Hall,13,casual
109,2023-06-01 09:10:40,2023-06-01 09:32:40,Tech Campus,Central Park,22,casual
112,2023-06-01 09:12:28,2023-06-01 09:37:28,University,Lakeside,25,casual
113,2023-06-01 09:15:53,2023-06-01 09:36:53,Elm Street,Central Park,21,member
101,2023-06-01 09:22:43,2023-06-01 09:50:43,Midtown,Elm Street,28,member
114,2023-06-01 09:23:45,2023-06-01 09:32:45,Lakeside,University,9,member
117,2023-06-01 09:29:54,2023-06-01 09:32:54,Union Station,Harbor View,3,member
98,2023-06-01 09:30:08,2023-06-01 09:53:08,Central Park,Riverside,23,member
99,2023-06-01 09:31:06,2023-06-01 09:55:06,Harbor View,Market Square,24,member
122,2023-06-01 09:33:18,2023-06-01 09:56:18,University,University,23,casual
100,2023-06-01 09:35:03,2023-06-01 09:38:03,Union Station,Tech Campus,3,casual
115,2023-06-01 09:42:15,2023-06-01 10:09:15,University,Lakeside,27,member
96,2023-06-01 09:43:41,2023-06-01 10:07:41,Maple Drive,Tech Campus,24,casual
110,2023-06-01 09:45:28,2023-06-01 10:07:28,Lakeside,Elm Street,22,member
120,2023-06-01 09:48:02,2023-06-01 10:32:02,Pine Road,Midtown,44,member
107,2023-06-01 09:48:07,2023-06-01 10:23:07,Oak Avenue,Lakeside,35,casual
116,2023-06-01 09:51:27,2023-06-01 10:22:27,University,Midtown,31,member
97,2023-06-01 09:51:54,2023-06-01 10:12:54,Maple Drive,Maple Drive,21,member
111,2023-06-01 09:55:06,2023-06-01 10:18:06,Downtown,Central Park,23,member
121,2023-06-01 09:57:36,2023-06-01 10:28:36,Maple Drive,Lakeside,31,casual
106,2023-06-01 09:59:28,2023-06-01 10:05:28,Lakeside,Harbor View,6,casual
133,2023-06-01 10:16:40,2023-06-01 10:39:40,Elm Street,Tech Campus,23,member
130,2023-06-01 10:19:33,2023-06-01 10:29:33,Union Station,Union Station,10,casual
132,2023-06-01 10:19:46,2023-06-01 10:26:46,Maple Drive,Union Station,7,casual
135,2023-06-01 10:21:15,2023-06-01 10:35:15,Lakeside,Maple Drive,14,casual
137,2023-06-01 10:22:19,2023-06-01 10:31:19,Market Square,Pine Road,9,casual
