date,price
2024-01-01,
2024-01-02,
2024-01-03,41657.35
2024-01-04,42218.94
2024-01-05,42116.87
2024-01-06,40918.99
2024-01-07,41184.84
2024-01-08,40970.97
2024-01-09,40797.4
2024-01-10,40890.11
2024-01-11,41075.95
2024-01-12,42006.8
2024-01-13,42532.11
2024-01-14,42620.51
2024-01-15,42029.85
2024-01-16,
2024-01-17,41415.2
2024-01-18,42464.06
2024-01-19,42497.39
2024-01-20,42412.33
2024-01-21,42837.75
2024-01-22,41674.91
2024-01-23,41425.09
2024-01-24,41817.38
2024-01-25,42516.11
2024-01-26,42323.6
2024-01-27,42624.88
2024-01-28,42823.45
2024-01-29,43449.31
2024-01-30,42558.74
2024-01-31,43013.34
2024-02-01,41801.72
2024-02-02,39705.76
2024-02-03,39220.25
2024-02-04,38487.6
2024-02-05,39188.41
2024-02-06,39719.83
2024-02-07,38744.57
2024-02-08,39422.46
2024-02-09,38620.69
2024-02-10,38551.7
2024-02-11,38316.58
2024-02-12,38408.11
2024-02-13,39063.02
2024-02-14,39573.75
2024-02-15,39853.66
2024-02-16,40373.62
2024-02-17,
2024-02-18,40254.83
2024-02-19,39680.93
2024-02-20,39304.95
2024-02-21,39704.42
2024-02-22,39504.32
2024-02-23,41372.93
2024-02-24,40717.49
2024-02-25,39838.39
2024-02-26,40453.17
2024-02-27,41590.65
2024-02-28,41995.21
2024-02-29,42663.86
2024-03-01,43804.94
2024-03-02,43729.71
2024-03-03,42591.35
2024-03-04,42165.69
2024-03-05,42928.0
2024-03-06,41773.06
2024-03-07,41799.88
2024-03-08,42002.47
2024-03-09,41750.0
2024-03-10,42328.91
2024-03-11,42793.53
2024-03-12,44650.66
2024-03-13,45146.63
2024-03-14,44659.11
2024-03-15,44209.67
2024-03-16,43544.41
2024-03-17,44306.22
2024-03-18,43852.76
2024-03-19,43796.55
2024-03-20,44395.99
2024-03-21,43817.22
2024-03-22,43582.29
2024-03-23,42109.27
2024-03-24,41243.28
2024-03-25,40789.09
2024-03-26,41121.7
2024-03-27,42076.5
2024-03-28,42061.72
2024-03-29,
2024-03-30,42405.19
2024-03-31,43272.98
2024-04-01,43987.67
2024-04-02,44206.62
2024-04-03,43397.87
2024-04-04,44120.58
2024-04-05,44425.41
2024-04-06,45406.97
2024-04-07,45383.04
2024-04-08,46945.52
2024-04-09,46658.42
2024-04-10,47932.87
2024-04-11,48024.96
2024-04-12,47611.95
2024-04-13,46709.19
2024-04-14,46588.37
2024-04-15,47727.02
2024-04-16,48380.12
2024-04-17,48931.23
2024-04-18,47030.53
2024-04-19,47599.3
2024-04-20,48043.98
2024-04-21,47604.04
2024-04-22,47102.14
2024-04-23,47100.29
2024-04-24,48480.19
2024-04-25,47636.11
2024-04-26,47293.86
2024-04-27,48383.29
2024-04-28,48026.37
2024-04-29,47734.97
2024-04-30,
2024-05-01,46820.16
2024-05-02,46996.12
2024-05-03,46028.42
2024-05-04,46736.58
2024-05-05,46739.13
2024-05-06,48565.87
2024-05-07,48790.54
2024-05-08,49883.09
2024-05-09,48840.48
2024-05-10,48742.77
2024-05-11,49001.29
2024-05-12,50397.87
2024-05-13,49053.13
2024-05-14,49845.63
2024-05-15,50318.71
2024-05-16,51545.55
2024-05-17,52115.46
2024-05-18,52157.11
2024-05-19,51739.79
2024-05-20,50741.25
2024-05-21,50897.59
2024-05-22,50744.23
2024-05-23,52360.44
2024-05-24,51871.62
2024-05-25,52127.94
2024-05-26,50872.74
2024-05-27,50556.37
2024-05-28,50765.29
2024-05-29,51424.45
2024-05-30,52582.93
2024-05-31,52547.62
2024-06-01,51653.82
2024-06-02,52020.1
2024-06-03,52433.69
2024-06-04,
2024-06-05,52266.79
2024-06-06,53173.49
2024-06-07,53243.81
2024-06-08,53803.67
2024-06-09,54822.93
2024-06-10,55310.35
2024-06-11,55539.56
2024-06-12,57261.8
2024-06-13,57456.76
2024-06-14,57219.99
2024-06-15,57309.56
2024-06-16,58495.78
2024-06-17,58590.75
2024-06-18,59006.25
2024-06-19,59962.83
2024-06-20,59552.55
2024-06-21,58171.29
2024-06-22,58410.83
2024-06-23,58594.62
2024-06-24,58108.21
2024-06-25,58805.08
2024-06-26,59291.13
2024-06-27,58495.14
2024-06-28,58909.71
2024-06-29,58752.83
2024-06-30,57566.41
2024-07-01,57928.77
2024-07-02,57892.6
2024-07-03,57296.37
2024-07-04,57714.73
2024-07-05,58105.2
2024-07-06,57643.17
2024-07-07,57963.45
2024-07-08,58775.51
2024-07-09,58205.37
2024-07-10,58510.08
2024-07-11,58512.29
2024-07-12,60325.1
2024-07-13,58835.25
2024-07-14,59391.48
2024-07-15,59146.49
2024-07-16,59066.33
2024-07-17,60587.6
2024-07-18,60580.74
2024-07-19,
2024-07-20,62019.78
2024-07-21,62300.19
2024-07-22,61907.51
2024-07-23,61354.96
2024-07-24,61404.94
2024-07-25,61178.89
2024-07-26,61340.88
2024-07-27,59656.86
2024-07-28,61258.83
2024-07-29,61125.24
2024-07-30,62519.56
2024-07-31,61713.87
2024-08-01,61947.9
2024-08-02,64479.85
2024-08-03,63784.07
2024-08-04,62587.83
2024-08-05,62150.62
2024-08-06,62528.61
2024-08-07,63083.28
2024-08-08,64115.58
2024-08-09,63909.97
2024-08-10,62628.17
2024-08-11,62280.14
2024-08-12,63272.32
2024-08-13,63644.85
2024-08-14,62079.3
2024-08-15,62051.26
2024-08-16,63169.79
2024-08-17,64871.03
2024-08-18,65320.38
2024-08-19,65567.82
2024-08-20,64575.66
2024-08-21,63901.06
2024-08-22,
2024-08-23,64341.16
2024-08-24,64805.3
2024-08-25,64422.74
2024-08-26,63501.18
2024-08-27,62878.96
2024-08-28,61953.38
2024-08-29,62468.1
2024-08-30,60618.28
2024-08-31,60351.66
2024-09-01,60711.56
2024-09-02,61929.17
2024-09-03,61986.21
2024-09-04,62787.24
2024-09-05,62468.03
2024-09-06,61872.51
2024-09-07,61333.0
2024-09-08,62554.86
2024-09-09,63350.24
2024-09-10,63740.16
2024-09-11,66404.37
2024-09-12,66378.5
2024-09-13,66874.78
2024-09-14,67120.85
2024-09-15,66943.35
2024-09-16,68796.28
2024-09-17,70001.57
2024-09-18,68881.98
2024-09-19,68562.11
2024-09-20,68904.78
2024-09-21,69531.32
2024-09-22,68452.56
2024-09-23,66648.12
2024-09-24,
2024-09-25,65066.13
2024-09-26,64983.57
2024-09-27,65259.75
2024-09-28,64644.01
2024-09-29,63664.62
2024-09-30,62046.18
2024-10-01,62309.53
2024-10-02,62605.57
2024-10-03,63399.97
2024-10-04,64032.6
2024-10-05,63880.03
2024-10-06,64959.44
2024-10-07,64850.35
2024-10-08,64321.68
2024-10-09,63905.21
2024-10-10,63437.37
2024-10-11,61704.78
2024-10-12,61829.84
2024-10-13,62029.75
2024-10-14,61739.93
2024-10-15,61168.86
2024-10-16,61466.3
2024-10-17,62839.8
2024-10-18,62870.4
2024-10-19,62464.3
2024-10-20,61991.14
2024-10-21,61935.33
2024-10-22,60923.52
2024-10-23,60823.31
2024-10-24,60872.26
2024-10-25,62348.0
2024-10-26,63102.78
2024-10-27,
2024-10-28,63359.64
2024-10-29,63895.58
2024-10-30,62984.08
2024-10-31,63233.64
2024-11-01,63568.63
2024-11-02,62955.51
2024-11-03,64555.01
2024-11-04,65008.91
2024-11-05,63486.73
2024-11-06,63929.02
2024-11-07,63603.09
2024-11-08,63604.19
2024-11-09,63976.8
2024-11-10,64289.22
2024-11-11,62657.9
2024-11-12,61731.25
2024-11-13,62349.35
2024-11-14,63390.31
2024-11-15,64912.83
2024-11-16,66355.37
2024-11-17,64710.94
2024-11-18,65326.52
2024-11-19,63793.49
2024-11-20,65084.37
2024-11-21,65287.05
2024-11-22,64374.12
2024-11-23,65982.04
2024-11-24,66497.21
2024-11-25,64984.29
2024-11-26,65219.07
2024-11-27,64634.16
2024-11-28,64723.19
2024-11-29,64351.04
2024-11-30,65449.83
2024-12-01,64311.2
2024-12-02,64565.13
2024-12-03,66016.48
2024-12-04,65354.91
2024-12-05,65523.43
2024-12-06,
2024-12-07,65133.27
2024-12-08,65651.58
2024-12-09,65729.22
2024-12-10,64974.21
2024-12-11,66383.82
2024-12-12,67017.12
2024-12-13,66883.43
2024-12-14,66374.09
2024-12-15,65746.6
2024-12-16,66731.35
2024-12-17,66614.17
2024-12-18,66981.72
2024-12-19,66834.16
2024-12-20,67327.28
2024-12-21,67234.5
2024-12-22,67845.58
2024-12-23,67699.01
2024-12-24,68362.68
2024-12-25,68900.59
2024-12-26,68807.3
2024-12-27,68119.48
2024-12-28,67367.39
2024-12-29,66774.8
2024-12-30,65987.21
