line_id,utility,voltage_kv,lat_start,lon_start,lat_end,lon_end
TL001,PG&E,230.0,39.8200,-121.4500,39.8000,-121.4200
TL002,PG&E,115.0,39.8300,-121.4600,39.7900,-121.4100
TL003,SCE,500.0,34.2300,-118.7400,34.2200,-118.7100
TL004,PG&E,230.0,38.8000,-122.7900,38.7800,-122.7600
TL005,PG&E,115.0,40.0100,-121.3900,40.0000,-121.3700
TL006,PG&E,60.0,38.5800,-122.4700,38.5600,-122.4400
TL007,PG&E,115.0,40.5400,-122.5700,40.5200,-122.5400
TL008,PG&E,230.0,39.0600,-121.1900,39.0400,-121.1600
TL009,SCE,230.0,34.4600,-119.1400,34.4400,-119.1100
TL010,PG&E,500.0,38.6000,-122.7300,38.5800,-122.7000
TL011,PG&E,115.0,40.6600,-122.6300,40.6400,-122.6100
TL012,SCE,115.0,34.0600,-118.2600,34.0400,-118.2300
TL013,PG&E,60.0,37.2100,-119.2600,37.1900,-119.2300
TL014,PG&E,230.0,39.2500,-122.9700,39.2300,-122.9400
TL015,PG&E,115.0,38.5200,-122.2100,38.5000,-122.1800
TL016,SDG&E,230.0,32.8000,-117.1500,32.7800,-117.1200
TL017,SCE,115.0,34.0000,-117.5000,33.9800,-117.4700
TL018,PG&E,60.0,37.4100,-121.5100,37.3900,-121.4800
