event_id,utility,start_datetime,end_datetime,latitude,longitude,customers_affected,county
PS001,PG&E,2019-10-23 17:00:00,2019-10-25 12:00:00,38.8000,-122.7500,87000,Sonoma
PS002,PG&E,2019-10-26 03:00:00,2019-10-28 18:00:00,39.8000,-121.4000,54000,Butte
PS003,SCE,2019-10-28 22:00:00,2019-10-30 14:00:00,34.2500,-118.7000,42000,Ventura
PS004,PG&E,2019-10-05 06:00:00,2019-10-07 20:00:00,38.5500,-122.4500,,Napa
PS005,PG&E,2020-09-07 12:00:00,2020-09-09 08:00:00,37.2200,-119.2400,31000,Fresno
PS006,PG&E,2020-09-27 00:00:00,2020-09-29 06:00:00,38.5600,-122.4500,65000,Napa
PS007,PG&E,2020-09-25 18:00:00,2020-09-27 12:00:00,40.5300,-122.5500,28000,Shasta
PS008,PG&E,2020-10-14 06:00:00,2020-10-16 18:00:00,39.0400,-121.1700,19000,Placer
PS009,PG&E,2021-07-10 08:00:00,2021-07-12 20:00:00,40.0000,-121.3800,45000,Butte
PS010,SCE,2021-08-12 14:00:00,2021-08-14 22:00:00,34.4400,-119.1200,38000,Ventura
PS011,PG&E,2021-09-20 10:00:00,2021-09-22 16:00:00,40.6700,-122.3800,22000,Shasta
PS012,PG&E,2018-11-06 04:00:00,2018-11-08 16:00:00,39.8100,-121.4300,72000,Butte
PS013,PG&E,2018-07-20 08:00:00,2018-07-22 14:00:00,40.6500,-122.6200,15000,Shasta
PS014,PG&E,2017-10-06 12:00:00,2017-10-08 20:00:00,38.5800,-122.7100,51000,Sonoma
PS015,PG&E,2017-12-02 06:00:00,2017-12-04 18:00:00,34.4500,-119.1300,33000,Ventura
PS016,SDG&E,2020-11-15 10:00:00,2020-11-17 08:00:00,32.8500,-117.1600,12000,San Diego
PS017,PG&E,invalid-datetime,,38.0000,-122.0000,5000,Contra Costa
PS018,SCE,2021-06-01 08:00:00,2021-06-03 12:00:00,,,-8000,Los Angeles
