fire_id,fire_name,cause,latitude,longitude,start_date,end_date,acres_burned,county
F001,Camp Fire,Electrical,39.8105,-121.4370,2018-11-08,2018-11-25,153336.0,Butte
F002,Woolsey Fire,Electrical,34.2258,-118.7293,2018-11-08,2018-11-21,96949.0,Ventura
F003,Kincade Fire,Electrical,38.7924,-122.7800,2019-10-23,2019-11-06,77758.0,Sonoma
F004,Dixie Fire,Electrical,40.0074,-121.3853,2021-07-13,2021-10-25,963309.0,Butte
F005,Creek Fire,Lightning,37.2050,-119.2500,2020-09-04,2020-12-24,379895.0,Fresno
F006,Caldor Fire,Unknown,38.5600,-120.5600,2021-08-14,2021-10-21,221835.0,El Dorado
F007,Glass Fire,Electrical,38.5700,-122.4600,2020-09-27,2020-10-20,67484.0,Napa
F008,Zogg Fire,Electrical,40.5350,-122.5600,2020-09-27,2020-10-15,56338.0,Shasta
F009,River Fire,Arson,39.0500,-121.1800,2021-08-04,2021-08-13,2619.0,Placer
F010,Tamarack Fire,Lightning,38.6500,-119.9200,2021-07-04,2021-10-01,68637.0,Alpine
F011,Beckwourth Complex,Lightning,39.8500,-120.1500,2021-07-02,2021-08-16,105670.0,Plumas
F012,Monument Fire,Lightning,40.2000,-123.2000,2021-07-30,2021-11-01,223124.0,Trinity
F013,Fawn Fire,Arson,40.6800,-122.3700,2021-09-22,2021-10-14,8578.0,Shasta
F014,Bad Data Fire,Electrical,,,2021-05-01,2021-05-10,500.0,Los Angeles
F015,Negative Acres,Electrical,34.0500,-118.2500,2021-06-01,2021-06-15,-100.0,Los Angeles
F016,No Acres Fire,Electrical,34.1000,-118.3000,2021-07-01,,0.0,Los Angeles
F017,Invalid Date Fire,Electrical,34.2000,-118.4000,not-a-date,,1000.0,Los Angeles
F018,Null Acres Fire,Lightning,36.5000,-119.5000,2020-08-15,2020-09-01,,Kern
F019,Thomas Fire,Electrical,34.4500,-119.1300,2017-12-04,2018-01-12,281893.0,Ventura
F020,Tubbs Fire,Electrical,38.5900,-122.7200,2017-10-08,2017-10-31,36807.0,Sonoma
F021,Wine Country Fire,Debris Burning,38.4500,-122.6000,2017-10-09,2017-10-31,1500.0,Sonoma
F022,Mendocino Complex,Lightning,39.2400,-122.9600,2018-07-27,2018-09-18,459123.0,Mendocino
F023,Carr Fire,Electrical,40.6550,-122.6240,2018-07-23,2018-08-30,229651.0,Shasta
F024,SCU Lightning Complex,Lightning,37.4000,-121.5000,2020-08-16,2020-10-01,396624.0,Santa Clara
F025,LNU Lightning Complex,Lightning,38.5100,-122.2000,2020-08-17,2020-10-02,363220.0,Sonoma
