Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20
Alabama,US,32.3,-86.9,0,5,7,8,9,299,513,1903,3024,3207,4421,5290,5360,5426,5622,6074,6555,7594,8831,8890,11977,16872,20136,25274,29011,30523,33289,38210,42456,46191,48923,52145,56361,58657,60875,65446,67697,72096,76372,79997,81811,87033,89514,94073,96177,100037,104458,107492,109520,111354,114679,118508,120620,123986,126272,130844,134580,139753,144200,146991,152941,158769,163403,171811,176916,185583,194100,202326,205828,213736,221855,226174,233467,238390,242646,249350,255376,260505,268665,277220,284700,289417,297943,303517,306893,311687,314867,320369,326573,331684,335144,339790,347354,352849,357508,365795,372802,378961,387145,393821
California,US,36.7,-119.4,1,2,7,11,15,289,892,1335,1937,2350,2725,2954,3100,3626,4136,4234,4287,4404,4565,5212,6581,9024,9998,12288,14565,17196,18939,19700,20883,22689,24796,25966,27882,30376,31737,34309,35036,36828,39592,41037,43830,44979,46915,49708,51236,52576,54821,56196,56912,58953,61668,62461,63633,65833,67806,69500,70451,72151,73187,74251,77669,79380,82989,84932,86885,91015,94389,98068,100172,102685,106274,110186,113347,115642,119278,123531,125782,128486,131548,135727,139816,142773,145995,149542,152819,154742,157185,159533,161223,164035,165549,169386,173082,175452,179290,181620,183077,184795,188807,190476
New York,US,43.0,-75.0,0,2,2,6,7,297,987,1489,1713,2270,2410,3155,3744,4339,4828,5081,5889,6378,7209,7630,9252,10481,11721,14329,16623,19200,21726,24481,25545,26791,27882,30374,32606,33896,35757,37384,39006,42045,44725,46142,48713,50307,52290,55027,56893,58044,60702,63799,65043,66093,69150,70053,71278,73089,74613,77120,79952,82766,84484,86969,88895,91255,94493,96187,99472,102244,107141,112042,115591,118445,121863,126402,131080,135974,139936,144333,148961,152640,154960,157423,160324,162901,164826,168884,173583,177489,179424,184173,187143,189063,190954,195032,198670,202415,206276,208606,210524,214290,216304,218751
Texas,US,31.0,-100.0,0,5,6,9,9,597,854,1451,1496,1584,2018,2620,3203,3743,4071,4343,4557,4883,5132,5408,6820,7690,9667,11590,12806,14344,15593,17734,18484,19105,20645,22519,24274,25080,25832,27535,28573,30211,31356,32229,33545,35951,36693,39095,40197,41555,42740,43665,45164,47473,49187,51229,52450,54304,56558,58499,60184,60802,62771,65046,68522,70953,72582,74337,76625,78302,79945,83416,85257,87577,89936,92003,94612,96650,98936,102211,105417,107650,109063,110646,113585,115923,117308,118527,121098,122838,125115,126981,129995,133459,136415,139917,141161,142824,144337,146152,149591,150943,153660,157250
Florida,US,27.8,-81.8,3,4,4,6,8,94,831,1266,1782,1997,2726,3877,4714,5990,6311,6800,7137,7504,8353,8408,10470,14814,19928,22616,27148,32288,35302,39915,43986,48853,53191,57839,60183,62603,64583,69136,73336,75106,78000,82900,84386,89230,92485,94724,96869,101541,106630,109843,112603,115181,119869,124454,129350,131610,133851,135275,139306,141425,144385,147057,151996,155221,160164,165697,173609,180439,186370,193419,198788,201671,205272,210068,214187,221600,226431,229401,232946,240490,246706,252194,257420,263651,271274,278120,281724,287536,294916,299130,303873,306893,313122,315792,322708,329775,334046,339686,345876,349106,354467,362228
,India,20.0,77.0,5,15,16,20,28,5105,16041,22742,28096,34698,46131,50985,60078,62173,65326,72224,83128,89349,100456,112723,136728,189666,239562,271885,311097,359606,372232,404746,436149,462523,503296,553905,606263,661769,695487,738560,780112,821689,878566,905171,951271,994881,1055712,1079432,1135210,1153367,1184565,1230945,1287051,1341131,1394314,1428880,1447600,1509426,1537418,1594110,1627053,1654375,1680025,1702281,1737481,1774109,1823755,1888493,1962153,2046116,2084488,2147934,2208694,2283566,2354893,2401235,2481912,2561148,2619912,2685911,2745702,2795291,2838562,2915157,2993821,3027784,3110599,3151184,3212646,3260587,3305713,3384920,3452464,3516508,3553399,3623529,3673460,3715013,3778527,3820865,3884915,3962265,4030673,4100902
,Brazil,-14.0,-51.0,9,14,21,30,38,7039,16025,23340,25957,33744,41127,45383,49443,59900,64453,73003,80952,91230,95159,99668,139895,156372,186497,213264,242471,275881,308233,355032,371712,392180,413464,440019,476521,533399,554813,580234,595843,634431,672543,705627,752587,794521,833169,848649,873604,912538,949462,999140,1056121,1068801,1117929,1154257,1196916,1208702,1243154,1274123,1311081,1349941,1396613,1443804,1513738,1558591,1620987,1665767,1714054,1773016,1835243,1867545,1923429,1975857,2050092,2125000,2181897,2223113,2284143,2322907,2394087,2459491,2491658,2547880,2617070,2684457,2758307,2790483,2826384,2898907,2957396,2996689,3057346,3099655,3133350,3180799,3236043,3287896,3332167,3392366,3444186,3496704,3551950,3600585
,Russia,61.0,105.0,6,10,11,18,18,881,6624,10307,11441,12110,12628,16689,19965,20308,22814,26732,28810,36578,38462,42043,81219,106712,139587,159283,175489,194921,224005,239789,250171,279315,312611,347306,369003,382683,407298,422676,451140,467773,479164,510618,547392,580377,593596,635454,666516,676045,712273,753098,768714,805825,838261,877090,895816,933056,953299,996192,1022592,1062978,1102143,1139388,1180177,1224499,1263787,1292666,1334145,1386888,1426069,1479724,1527761,1573007,1598087,1653681,1698181,1733298,1788450,1825551,1872004,1912135,1957639,1999166,2040471,2064336,2121393,2157114,2185924,2224941,2274776,2329995,2368944,2423345,2478711,2531282,2555612,2584910,2627393,2665115,2714817,2753962,2797229,2844613
,France,46.0,2.0,7,15,23,28,34,6154,10672,13391,16283,22050,25777,28006,30527,32596,34494,35492,41410,42997,45591,46580,78422,103481,135956,166071,179637,193413,208003,239705,263071,279631,310874,337693,370103,394794,421849,438622,449416,484199,498059,515266,530220,549545,562924,580328,588291,618991,643993,655640,672128,681119,690405,716037,733109,763461,775098,803499,839456,871623,895208,906069,954666,975067,1013877,1043194,1078575,1114261,1148694,1179858,1205899,1227582,1255855,1304091,1339745,1363483,1410422,1432563,1465693,1501806,1524233,1563140,1603765,1646258,1668014,1692985,1717873,1764452,1802895,1832851,1855642,1883774,1907655,1945941,1990990,2024627,2064494,2104027,2149937,2190201,2217596,2263013
England,United Kingdom,52.3,-1.2,3,6,8,12,15,332,919,1559,1625,2254,2360,2577,3222,3443,3718,4399,4487,4652,4902,5084,6097,7444,8160,10539,13090,15720,17618,18457,20111,21997,23861,26426,27423,29085,30874,32390,34837,36013,37639,38955,40749,42037,43035,43985,45370,47335,49223,51727,52942,55567,57518,59872,61693,64448,67176,69675,70710,71579,74054,76080,79964,82401,83918,85704,88053,92226,95994,99810,101306,105471,107986,111758,113334,115463,118802,122339,126419,129642,132193,134348,138157,141354,145366,148792,150577,153914,156751,159835,162612,165339,169495,171335,173405,176167,179265,182706,185298,189423,192475,196140
