date,county,state,fips,cases,deaths
2020-03-01,Autauga,Alabama,01001,0,0
2020-03-02,Autauga,Alabama,01001,0,0
2020-03-03,Autauga,Alabama,01001,0,0
2020-03-04,Autauga,Alabama,01001,0,0
2020-03-05,Autauga,Alabama,01001,0,0
2020-03-06,Autauga,Alabama,01001,0,0
2020-03-07,Autauga,Alabama,01001,0,0
2020-03-08,Autauga,Alabama,01001,0,0
2020-03-09,Autauga,Alabama,01001,0,0
2020-03-10,Autauga,Alabama,01001,0,0
2020-03-11,Autauga,Alabama,01001,0,0
2020-03-12,Autauga,Alabama,01001,0,0
2020-03-13,Autauga,Alabama,01001,0,0
2020-03-14,Autauga,Alabama,01001,0,0
2020-03-15,Autauga,Alabama,01001,0,0
2020-03-16,Autauga,Alabama,01001,0,0
2020-03-17,Autauga,Alabama,01001,0,0
2020-03-18,Autauga,Alabama,01001,0,0
2020-03-19,Autauga,Alabama,01001,0,0
2020-03-20,Autauga,Alabama,01001,0,0
2020-03-21,Autauga,Alabama,01001,0,0
2020-03-22,Autauga,Alabama,01001,0,0
2020-03-23,Autauga,Alabama,01001,0,0
2020-03-24,Autauga,Alabama,01001,0,0
2020-03-25,Autauga,Alabama,01001,0,0
2020-03-26,Autauga,Alabama,01001,0,0
2020-03-27,Autauga,Alabama,01001,0,0
2020-03-28,Autauga,Alabama,01001,0,0
2020-03-29,Autauga,Alabama,01001,0,0
2020-03-30,Autauga,Alabama,01001,0,0
2020-03-31,Autauga,Alabama,01001,5,0
2020-04-01,Autauga,Alabama,01001,8,0
2020-04-02,Autauga,Alabama,01001,12,0
2020-04-03,Autauga,Alabama,01001,13,0
2020-04-04,Autauga,Alabama,01001,15,0
2020-04-05,Autauga,Alabama,01001,16,0
2020-04-06,Autauga,Alabama,01001,20,0
2020-04-07,Autauga,Alabama,01001,23,0
2020-04-08,Autauga,Alabama,01001,28,0
2020-04-09,Autauga,Alabama,01001,29,0
2020-04-10,Autauga,Alabama,01001,32,0
2020-04-11,Autauga,Alabama,01001,35,0
2020-04-12,Autauga,Alabama,01001,37,0
2020-04-13,Autauga,Alabama,01001,42,0
2020-04-14,Autauga,Alabama,01001,43,0
2020-04-15,Autauga,Alabama,01001,44,0
2020-04-16,Autauga,Alabama,01001,48,0
2020-04-17,Autauga,Alabama,01001,48,0
2020-04-18,Autauga,Alabama,01001,53,0
2020-04-19,Autauga,Alabama,01001,58,0
2020-04-20,Autauga,Alabama,01001,58,0
2020-04-21,Autauga,Alabama,01001,61,0
2020-04-22,Autauga,Alabama,01001,62,0
2020-04-23,Autauga,Alabama,01001,63,0
2020-04-24,Autauga,Alabama,01001,65,0
2020-04-25,Autauga,Alabama,01001,69,0
2020-04-26,Autauga,Alabama,01001,72,0
2020-04-27,Autauga,Alabama,01001,77,0
2020-04-28,Autauga,Alabama,01001,79,0
2020-04-29,Autauga,Alabama,01001,82,0
2020-04-30,Autauga,Alabama,01001,86,0
2020-05-01,Autauga,Alabama,01001,90,0
2020-05-02,Autauga,Alabama,01001,90,0
2020-05-03,Autauga,Alabama,01001,90,0
2020-05-04,Autauga,Alabama,01001,94,0
2020-05-05,Autauga,Alabama,01001,96,0
2020-05-06,Autauga,Alabama,01001,100,0
2020-05-07,Autauga,Alabama,01001,100,0
2020-05-08,Autauga,Alabama,01001,100,0
2020-05-09,Autauga,Alabama,01001,104,0
2020-05-10,Autauga,Alabama,01001,106,0
2020-05-11,Autauga,Alabama,01001,107,0
2020-05-12,Autauga,Alabama,01001,109,0
2020-05-13,Autauga,Alabama,01001,112,0
2020-05-14,Autauga,Alabama,01001,113,0
2020-05-15,Autauga,Alabama,01001,118,0
2020-05-16,Autauga,Alabama,01001,120,0
2020-05-17,Autauga,Alabama,01001,121,0
2020-05-18,Autauga,Alabama,01001,123,0
2020-05-19,Autauga,Alabama,01001,124,0
2020-05-20,Autauga,Alabama,01001,124,0
2020-05-21,Autauga,Alabama,01001,125,0
2020-05-22,Autauga,Alabama,01001,129,0
2020-05-23,Autauga,Alabama,01001,130,0
2020-05-24,Autauga,Alabama,01001,131,0
2020-05-25,Autauga,Alabama,01001,136,0
2020-05-26,Autauga,Alabama,01001,138,0
2020-05-27,Autauga,Alabama,01001,142,0
2020-05-28,Autauga,Alabama,01001,143,0
2020-05-29,Autauga,Alabama,01001,145,0
2020-05-30,Autauga,Alabama,01001,149,0
2020-05-31,Autauga,Alabama,01001,154,0
2020-06-01,Autauga,Alabama,01001,156,0
