date,country,new_cases,new_deaths,total_cases,total_deaths,people_vaccinated,population
2021-01-01,CountryA,500,10,50000,1200,0,10000000
2021-01-02,CountryA,600,12,50600,1212,1000,10000000
2021-01-03,CountryA,,8,51200,1220,3000,10000000
2021-01-04,CountryA,700,15,51900,1235,8000,10000000
2021-01-05,CountryA,-50,3,51850,1238,15000,10000000
2021-01-06,CountryA,800,20,52650,1258,25000,10000000
2021-01-07,CountryA,450,,53100,1268,40000,10000000
2021-01-08,CountryA,550,11,53650,1279,60000,10000000
2021-01-09,CountryA,620,14,54270,1293,85000,10000000
2021-01-10,CountryA,480,9,54750,1302,120000,10000000
2021-01-01,CountryB,,5,20000,800,,50000000
2021-01-02,CountryB,300,,20300,805,5000,50000000
2021-01-03,CountryB,350,7,20650,812,12000,50000000
2021-01-04,CountryB,400,9,21050,821,20000,50000000
2021-01-05,CountryB,-30,-2,21020,819,35000,50000000
2021-01-06,CountryB,500,11,21520,830,55000,50000000
2021-01-07,CountryB,280,6,21800,836,80000,50000000
2021-01-08,CountryB,,8,22100,844,110000,50000000
2021-01-09,CountryB,600,13,22700,857,150000,50000000
2021-01-10,CountryB,450,10,23150,867,200000,50000000
2021-01-01,CountryC,1000,25,100000,3500,50000,30000000
2021-01-02,CountryC,1200,30,101200,3530,80000,30000000
2021-01-03,CountryC,1100,,102300,3558,120000,30000000
2021-01-04,CountryC,,35,103400,3593,170000,30000000
2021-01-05,CountryC,1500,40,104900,3633,230000,30000000
2021-01-06,CountryC,-100,22,104800,3655,300000,30000000
2021-01-07,CountryC,900,18,105700,3673,380000,30000000
2021-01-08,CountryC,1300,33,107000,3706,470000,30000000
2021-01-09,CountryC,1400,37,108400,3743,570000,30000000
2021-01-10,CountryC,1050,28,109450,3771,680000,30000000
2021-01-01,CountryA,500,10,50000,1200,0,10000000
2021-01-05,CountryB,-30,-2,21020,819,35000,50000000
2021-01-03,CountryC,1100,,102300,3558,120000,30000000
