Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
116.8,-2.55110353,-0.34079384,1.27934035,0.46346088,-1.2053156,0.69451689,0.54696462,-0.82165366,-0.79610652,0.50854731,0.72160172,-0.93276253,-0.70734307,-0.36264042,1.20882823,0.48494596,1.18042184,1.1931372,-0.30960803,-0.92953843,2.07299853,2.07484654,-1.16700969,-0.43791956,1.66603088,1.87513609,1.53859752,-0.8734003,274.41,0
189.6,-0.4105351,0.14804168,-0.33198045,0.49346562,-0.28607385,-1.23224496,0.44683331,0.96419335,0.44032583,-0.12065219,0.45118754,-1.5435201,0.44450493,0.81970095,1.4841936,-0.93685931,-2.1723987,-0.30575267,-0.25910361,-1.50070327,-0.97731778,-0.42689069,0.16887467,-1.17061808,0.23121751,0.93549402,-0.39210354,-0.12805094,95.94,0
338.4,0.86023079,-0.72470517,-0.23030392,-0.08639672,-0.09973269,-1.64787752,-0.32350374,0.47834883,0.15308178,-0.00102978,-0.81791514,-0.79837671,-0.31809221,-1.29581291,-0.45984687,-1.48580495,1.60115595,3.2241269,0.3402222,0.07264824,0.31603951,0.18294109,0.45330831,-1.94864107,0.77283816,0.50671492,-0.99779192,-0.38339528,143.23,0
523.9,0.56799604,-0.88413459,1.55527275,-0.56044652,-1.19959129,0.36029068,-1.13508098,2.17009035,-1.8590047,1.71946144,-0.18235939,1.24625678,-0.47155105,0.36730757,-0.82281269,0.02127143,-1.84275398,-1.34972436,1.00216256,1.14378978,0.41308702,0.39699293,1.79126276,1.32386191,0.26880729,-0.32752567,-0.18575902,-0.45959702,230.93,0
772.5,-1.3862136,1.42776965,-0.12968447,-2.37947848,-1.66660263,-1.42426537,0.14938759,-1.03296496,-0.57395872,-0.22657325,-1.49358482,0.85980038,0.84504877,-1.09750762,1.11592229,-0.66743267,0.39921369,0.96423515,-0.82302744,2.10166721,0.04841032,-0.51866056,-0.20909225,0.52209086,-0.35098804,-0.60283365,1.82035452,-2.44677875,361.31,0
831.6,0.83150749,0.55161927,-0.70251823,-0.18447817,-0.84431732,-0.95276013,-0.31792863,0.66734055,-0.58121698,0.51121313,0.04180925,-1.09857205,0.54933643,-0.95988679,0.7106703,-0.79929487,0.91956898,0.36837422,0.14166609,0.87454181,1.84442506,-0.54631678,1.62674737,-0.75031515,-1.36354288,0.39571369,1.05135812,-1.61077359,93.51,0
1181.9,-0.89180144,0.22836453,0.47539819,0.69321771,-1.2082805,-1.53352475,-1.42362972,0.62356203,0.2835714,0.81709296,0.07458048,1.53795494,-1.38367881,-0.33514491,-1.43438477,0.24377083,-0.20448528,-0.18326361,-1.11607823,-0.41261527,1.365575,0.36605877,-0.18592505,0.0878519,0.57454409,1.34845681,1.51980733,-0.89002069,226.31,0
1348.2,0.47119231,0.01689197,-3.0332806,-1.71337317,-0.02037661,-2.45771263,-0.65277913,0.64286248,0.66905921,-0.17409649,0.11528214,-2.36237886,0.72148588,-0.99388049,-0.03167971,0.70188029,1.43842516,-1.65514891,-0.95887034,0.1152648,0.7345699,0.36118224,-1.06808971,0.04826455,0.83797185,0.74129177,-1.49766764,-1.52341008,13.05,0
1365.3,1.78454745,0.35234176,0.88478195,-0.16249787,-1.24471295,-0.04598729,-1.41869816,-0.81897879,0.55367149,0.28323254,1.02689418,1.41405686,0.24761147,1.44576089,-1.37203146,-1.16058314,-0.73601679,1.33691904,-0.43204913,0.49778371,-1.08492349,-1.40154907,-1.38850943,1.16461808,-0.29006492,0.51095779,-0.46124653,0.86860856,221.82,0
1384.8,-0.58426573,-0.48701392,-0.14155255,0.84459131,-1.02642406,-2.49761645,-1.63760065,1.53270428,0.59243006,-0.35676869,-0.42629783,0.90378396,1.02846678,-0.81005448,1.29495409,0.12108617,-1.10361335,-0.77376389,0.81338799,-0.59349631,-0.41687005,1.10301897,0.93744904,0.38681094,0.92028829,1.51172375,0.48635219,-0.4840517,144.59,0
