date,station_id,temperature_avg,temperature_min,temperature_max,precipitation,humidity
2023-01-01,STATION_A,12.5,8.2,16.8,2.3,68.5
2023-01-02,STATION_A,11.8,7.5,15.9,0.0,65.2
2023-01-03,STATION_A,13.2,9.1,17.3,5.1,72.8
2023-01-04,STATION_A,14.1,10.2,18.0,1.2,70.3
2023-01-05,STATION_A,12.9,8.8,16.5,0.5,66.9
2023-02-01,STATION_A,15.3,11.2,19.4,3.2,71.5
2023-02-02,STATION_A,16.1,12.0,20.2,0.8,69.8
2023-02-03,STATION_A,14.8,10.5,18.9,4.5,74.2
2023-03-01,STATION_A,18.2,13.5,22.8,2.1,65.3
2023-03-02,STATION_A,19.5,14.8,24.1,0.0,62.1
2023-03-03,STATION_A,17.9,13.2,22.5,1.8,67.4
2023-04-01,STATION_A,22.3,17.1,27.5,3.5,58.9
2023-04-02,STATION_A,23.1,18.2,28.0,2.2,56.7
2023-04-03,STATION_A,21.8,16.5,26.9,5.8,63.2
2023-05-01,STATION_A,25.6,20.3,30.8,4.1,61.5
2023-05-02,STATION_A,26.2,21.0,31.5,2.8,59.3
2023-05-03,STATION_A,24.9,19.8,29.9,6.2,65.8
2023-06-01,STATION_A,28.5,23.2,33.8,8.5,68.2
2023-06-02,STATION_A,29.1,24.0,34.5,12.3,72.5
2023-06-03,STATION_A,27.8,22.8,32.9,15.8,75.1
2023-07-01,STATION_A,30.2,25.1,35.3,18.2,78.3
2023-07-02,STATION_A,31.0,26.0,36.1,22.5,80.5
2023-07-03,STATION_A,29.8,24.8,34.8,20.1,77.9
2023-08-01,STATION_A,29.5,24.5,34.5,16.8,76.2
2023-08-02,STATION_A,28.9,23.9,33.8,14.2,74.5
2023-08-03,STATION_A,30.1,25.2,35.0,19.5,78.8
2023-09-01,STATION_A,26.3,21.2,31.5,10.5,70.3
2023-09-02,STATION_A,25.8,20.5,30.9,8.2,68.5
2023-09-03,STATION_A,27.1,22.0,32.2,12.8,72.8
2023-10-01,STATION_A,21.5,16.8,26.2,5.5,65.8
2023-10-02,STATION_A,20.9,16.2,25.5,3.8,63.2
2023-10-03,STATION_A,22.2,17.5,26.9,7.2,68.5
2023-11-01,STATION_A,16.8,12.5,21.1,2.8,66.3
2023-11-02,STATION_A,15.9,11.8,20.0,1.5,64.1
2023-11-03,STATION_A,17.2,13.0,21.5,4.2,69.5
2023-12-01,STATION_A,13.5,9.2,17.8,1.8,67.8
2023-12-02,STATION_A,12.8,8.5,16.9,0.5,65.2
2023-12-03,STATION_A,14.1,10.0,18.2,3.2,70.5
2023-01-01,STATION_B,8.2,3.5,12.8,1.5,62.3
2023-01-02,STATION_B,7.5,2.8,11.9,0.0,59.8
2023-01-03,STATION_B,9.1,4.2,13.5,3.8,65.5
2023-02-01,STATION_B,11.2,6.5,15.8,2.5,64.2
2023-02-02,STATION_B,12.0,7.2,16.5,0.5,61.8
2023-02-03,STATION_B,10.5,5.8,14.9,3.2,67.1
2023-03-01,STATION_B,15.5,10.2,20.5,1.8,58.9
2023-03-02,STATION_B,16.8,11.5,21.8,0.0,56.2
2023-03-03,STATION_B,14.9,9.8,19.8,2.5,61.5
2023-04-01,STATION_B,19.8,14.5,25.0,2.8,55.3
2023-04-02,STATION_B,20.5,15.2,25.8,1.5,53.1
2023-04-03,STATION_B,18.9,13.8,23.9,4.2,58.8
2023-05-01,STATION_B,23.2,18.0,28.5,3.5,57.2
2023-05-02,STATION_B,24.0,18.8,29.2,2.1,54.8
2023-05-03,STATION_B,22.5,17.2,27.8,5.5,60.5
2023-06-01,STATION_B,26.8,21.5,32.0,6.8,62.8
2023-06-02,STATION_B,27.5,22.2,32.8,9.5,66.2
2023-06-03,STATION_B,26.2,21.0,31.5,11.2,68.5
2023-07-01,STATION_B,28.5,23.2,33.8,13.5,70.8
2023-07-02,STATION_B,29.2,24.0,34.5,16.8,73.2
2023-07-03,STATION_B,28.0,22.8,33.2,14.8,71.5
2023-08-01,STATION_B,27.8,22.5,33.0,12.5,69.5
2023-08-02,STATION_B,27.2,22.0,32.5,10.2,67.2
2023-08-03,STATION_B,28.5,23.2,33.8,14.8,71.8
2023-09-01,STATION_B,24.5,19.2,29.8,8.2,65.5
2023-09-02,STATION_B,23.8,18.5,29.0,6.5,63.2
2023-09-03,STATION_B,25.2,20.0,30.5,10.5,68.8
2023-10-01,STATION_B,19.2,14.5,23.8,4.5,61.2
2023-10-02,STATION_B,18.5,13.8,23.0,2.8,58.8
2023-10-03,STATION_B,20.0,15.2,24.5,6.2,64.5
2023-11-01,STATION_B,14.5,10.0,18.9,2.2,62.8
2023-11-02,STATION_B,13.8,9.2,18.0,1.0,60.5
2023-11-03,STATION_B,15.2,10.8,19.5,3.5,65.8
2023-12-01,STATION_B,10.2,5.8,14.5,1.2,63.5
2023-12-02,STATION_B,9.5,5.2,13.8,0.0,61.2
2023-12-03,STATION_B,11.0,6.5,15.2,2.8,66.8
2023-01-01,STATION_C,22.5,18.2,26.8,8.5,75.2
2023-01-02,STATION_C,23.2,19.0,27.5,12.3,78.5
2023-01-03,STATION_C,21.8,17.5,26.0,15.8,80.8
2023-02-01,STATION_C,23.8,19.5,28.0,10.5,76.8
2023-02-02,STATION_C,24.5,20.2,28.8,14.2,79.5
2023-02-03,STATION_C,23.2,18.8,27.5,18.5,82.2
2023-03-01,STATION_C,25.5,21.2,29.8,16.8,78.5
2023-03-02,STATION_C,26.2,22.0,30.5,20.5,81.2
2023-03-03,STATION_C,24.8,20.5,29.0,22.8,83.8
2023-04-01,STATION_C,27.8,23.5,32.0,25.2,82.5
2023-04-02,STATION_C,28.5,24.2,32.8,28.5,85.2
2023-04-03,STATION_C,27.2,22.8,31.5,30.8,86.8
2023-05-01,STATION_C,29.5,25.2,33.8,32.5,84.5
2023-05-02,STATION_C,30.2,26.0,34.5,35.8,87.2
2023-05-03,STATION_C,28.8,24.5,33.0,38.2,88.8
2023-06-01,STATION_C,31.2,27.0,35.5,42.5,86.8
2023-06-02,STATION_C,32.0,27.8,36.2,45.8,89.5
2023-06-03,STATION_C,30.5,26.2,34.8,48.2,91.2
2023-07-01,STATION_C,32.5,28.2,36.8,52.5,90.5
2023-07-02,STATION_C,33.2,29.0,37.5,55.8,92.8
2023-07-03,STATION_C,31.8,27.5,36.0,58.2,93.5
2023-08-01,STATION_C,32.0,27.8,36.2,50.5,91.2
2023-08-02,STATION_C,31.5,27.2,35.8,48.2,89.8
2023-08-03,STATION_C,32.8,28.5,37.0,54.8,92.5
2023-09-01,STATION_C,30.2,26.0,34.5,42.5,87.5
2023-09-02,STATION_C,29.5,25.2,33.8,38.2,85.2
2023-09-03,STATION_C,31.0,26.8,35.2,45.8,89.8
2023-10-01,STATION_C,28.5,24.2,32.8,32.5,83.2
2023-10-02,STATION_C,27.8,23.5,32.0,28.2,80.8
2023-10-03,STATION_C,29.2,25.0,33.5,35.8,85.5
2023-11-01,STATION_C,26.2,22.0,30.5,22.5,79.5
2023-11-02,STATION_C,25.5,21.2,29.8,18.2,76.8
2023-11-03,STATION_C,27.0,22.8,31.2,25.8,82.2
2023-12-01,STATION_C,24.2,20.0,28.5,15.5,77.8
2023-12-02,STATION_C,23.5,19.2,27.8,12.2,75.2
2023-12-03,STATION_C,25.0,20.8,29.2,18.8,80.5
