order_id,customer_id,product_id,quantity,unit_price,order_date
1001,C001,P001,2,29.99,2024-01-05
1002,C002,P004,1,249.99,2024-01-08
1003,C003,P007,5,12.50,2024-01-12
1004,C004,P002,1,89.99,2024-01-18
1005,C005,P005,1,499.99,2024-01-22
1006,C006,P009,2,45.00,2024-01-28
1007,C007,P010,1,79.99,2024-02-02
1008,C008,P003,3,34.99,2024-02-07
1009,C009,P011,1,59.99,2024-02-11
1010,C010,P008,10,3.99,2024-02-15
1011,C011,P014,2,24.99,2024-02-19
1012,C012,P001,1,29.99,2024-02-25
1013,C001,P012,1,89.00,2024-03-01
1014,C013,P005,2,499.99,2024-03-05
1015,C002,P002,2,89.99,2024-03-09
1016,C014,P013,8,9.99,2024-03-14
1017,C003,P004,1,249.99,2024-03-18
1018,C015,P009,1,45.00,2024-03-23
1019,C004,P010,2,79.99,2024-03-28
1020,C005,P015,1,39.99,2024-04-02
1021,C006,P001,3,29.99,2024-04-06
1022,C007,P003,2,34.99,2024-04-10
1023,C008,P007,4,12.50,2024-04-14
1024,C009,P002,1,89.99,2024-04-19
1025,C010,P005,1,499.99,2024-04-23
1026,C011,P012,2,89.00,2024-04-28
1027,C012,P014,1,24.99,2024-05-03
1028,C013,P004,2,249.99,2024-05-07
1029,C001,P008,15,3.99,2024-05-11
1030,C014,P011,2,59.99,2024-05-15
1031,C002,P009,3,45.00,2024-05-20
1032,C015,P010,1,79.99,2024-05-24
1033,C003,P001,2,29.99,2024-05-29
1034,C004,P013,6,9.99,2024-06-02
1035,C005,P002,3,89.99,2024-06-06
1036,C006,P005,1,499.99,2024-06-10
1037,C007,P015,2,39.99,2024-06-14
1038,C008,P003,4,34.99,2024-06-18
1039,C009,P012,1,89.00,2024-06-22
1040,C010,P007,3,12.50,2024-06-27
1041,C011,P004,1,249.99,2024-07-01
1042,C012,P010,2,79.99,2024-07-05
1043,C013,P001,4,29.99,2024-07-09
1044,C001,P014,3,24.99,2024-07-13
1045,C014,P002,1,89.99,2024-07-17
1046,C002,P009,2,45.00,2024-07-21
1047,C015,P005,1,499.99,2024-07-25
1048,C003,P008,20,3.99,2024-07-30
1049,C004,P011,1,59.99,2024-08-03
1050,C005,P003,2,34.99,2024-08-07
1051,C006,P012,3,89.00,2024-08-11
1052,C007,P004,1,249.99,2024-08-15
1053,C008,P013,10,9.99,2024-08-19
1054,C009,P001,2,29.99,2024-08-23
1055,C010,P015,1,39.99,2024-08-28
1056,C011,P005,2,499.99,2024-09-01
1057,C012,P002,1,89.99,2024-09-05
1058,C013,P010,3,79.99,2024-09-09
1059,C001,P007,6,12.50,2024-09-13
1060,C014,P003,2,34.99,2024-09-17
1061,C002,P004,1,249.99,2024-09-21
1062,C015,P014,4,24.99,2024-09-26
1063,C003,P009,1,45.00,2024-10-01
1064,C004,P005,1,499.99,2024-10-05
1065,C005,P001,5,29.99,2024-10-09
1066,C006,P002,2,89.99,2024-10-13
1067,C007,P011,1,59.99,2024-10-17
1068,C008,P008,12,3.99,2024-10-21
1069,C009,P013,5,9.99,2024-10-25
1070,C010,P012,1,89.00,2024-10-30
1071,C011,P003,3,34.99,2024-11-02
1072,C012,P015,2,39.99,2024-11-06
1073,C013,P005,1,499.99,2024-11-10
1074,C001,P004,1,249.99,2024-11-14
1075,C014,P010,2,79.99,2024-11-18
1076,C002,P007,8,12.50,2024-11-22
1077,C015,P002,1,89.99,2024-11-27
1078,C003,P014,2,24.99,2024-12-01
1079,C004,P001,3,29.99,2024-12-05
1080,C005,P009,2,45.00,2024-12-09
1081,C006,P005,1,499.99,2024-12-13
1082,C007,P003,5,34.99,2024-12-17
1083,C008,P011,2,59.99,2024-12-20
1084,C009,P004,1,249.99,2024-12-23
1085,C010,P002,2,89.99,2024-12-26
1086,C011,P013,7,9.99,2024-12-28
1087,C013,P012,2,89.00,2024-12-29
1088,C014,P008,10,3.99,2024-12-30
1089,C015,P015,3,39.99,2024-12-31
