Date,Open,High,Low,Close,Volume
2023-01-03,3822.16,3823.86,3807.95,3818.67,3736205858
2023-01-04,3822.48,3826.57,3747.95,3751.21,3857942393
2023-01-05,3764.3,3774.19,3761.12,3762.79,3430839198
2023-01-06,3765.57,3785.32,3717.48,3718.1,3746838353
2023-01-09,3701.89,3747.62,3694.63,3742.94,4236702192
2023-01-10,3747.17,3750.89,3721.58,3733.26,3243388892
2023-01-11,3716.3,3799.24,3707.27,3759.83,3342094976
2023-01-12,3767.33,3819.02,3754.56,3800.49,3298898587
2023-01-13,3797.14,3799.43,3784.7,3797.69,4119206895
2023-01-16,3805.1,3822.08,3795.56,3814.78,3441314453
2023-01-17,3820.49,3824.31,3758.96,3794.41,3390353728
2023-01-18,3803.16,3824.79,3737.94,3745.51,4217908672
2023-01-19,3744.46,3832.43,3736.49,3810.74,4276447878
2023-01-20,3811.13,3814.99,3741.14,3745.87,4161815993
2023-01-23,3771.96,3782.46,3762.76,3773.1,3519101203
2023-01-24,3783.88,3792.46,3735.53,3736.58,4174651309
2023-01-25,3733.29,3760.78,3689.22,3705.26,3516131793
2023-01-26,3718.53,3725.13,3714.64,3724.86,3883984684
2023-01-27,3734.84,3778.6,3719.74,3774.46,4251692657
2023-01-30,3788.36,3793.31,3758.76,3792.85,3620561829
2023-01-31,3794.16,3874.48,3777.04,3866.5,3724484724
2023-02-01,3875.97,3944.54,3839.13,3933.7,4155482102
2023-02-02,3927.21,3971.06,3927.17,3961.12,4662438131
2023-02-03,3956.03,3977.58,3905.17,3912.15,3617874262
2023-02-06,3897.58,3921.36,3878.73,3917.92,4242599155
2023-02-07,3944.76,3949.19,3897.83,3919.24,3148368014
2023-02-08,3923.04,3950.44,3888.35,3914.67,4295309839
2023-02-09,3932.68,3954.86,3931.86,3943.63,3539175174
2023-02-10,3945.94,3948.96,3854.34,3885.74,3494487586
2023-02-13,3867.45,3908.02,3863.41,3901.85,4211980006
2023-02-14,3901.33,3988.57,3894.19,3970.82,4058493549
2023-02-15,3962.48,4013.55,3961.09,3995.44,4149912310
2023-02-16,4002.74,4062.37,3968.27,4057.72,3921851520
2023-02-17,4059.09,4083.16,4042.61,4044.53,4059688827
2023-02-20,4038.31,4132.12,4033.47,4103.78,3914867397
2023-02-21,4114.5,4124.5,4058.85,4075.07,4059109222
2023-02-22,4056.94,4074.07,4056.2,4066.7,3427358550
2023-02-23,4072.65,4102.9,4066.13,4093.44,4307532468
2023-02-24,4098.12,4098.16,4022.86,4059.66,2868848514
2023-02-27,4055.93,4096.39,4025.08,4094.75,3795713424
2023-02-28,4089.32,4211.99,4081.29,4206.09,3454655993
2023-03-01,4202.53,4213.92,4167.14,4210.51,4801233844
2023-03-02,4232.52,4249.57,4198.41,4203.33,5382471050
2023-03-03,4184.48,4193.62,4152.86,4160.72,4146670020
2023-03-06,4157.52,4253.49,4150.28,4226.4,4420111347
2023-03-07,4201.59,4251.88,4178.09,4251.28,4863274068
2023-03-08,4255.23,4302.45,4240.88,4281.21,3823457928
2023-03-09,4288.67,4316.59,4268.9,4308.35,3411109079
2023-03-10,4316.67,4356.59,4244.16,4249.83,4024939166
2023-03-13,4250.74,4346.06,4243.95,4328.72,3427798006
2023-03-14,4348.56,4365.85,4286.61,4294.99,5465134431
2023-03-15,4302.98,4308.28,4290.8,4294.61,4958085673
2023-03-16,4276.58,4380.54,4269.25,4373.54,4191591607
2023-03-17,4343.95,4377.07,4302.86,4304.08,3748398410
2023-03-20,4294.15,4344.38,4259.4,4323.21,3964593679
2023-03-21,4336.08,4357.44,4332.78,4343.7,4474630481
2023-03-22,4335.09,4346.93,4324.95,4337.9,2717131640
2023-03-23,4341.15,4353.63,4328.75,4347.33,3985901912
2023-03-24,4347.83,4447.22,4337.55,4438.2,3765121780
2023-03-27,4436.54,4437.62,4339.92,4372.18,4271736882
2023-03-28,4362.82,4439.6,4342.94,4427.74,3955980348
2023-03-29,4417.56,4486.92,4407.53,4451.32,2848635848
2023-03-30,4445.88,4482.21,4437.59,4482.18,3995266333
2023-03-31,4466.61,4480.41,4351.08,4373.85,4751576443
2023-04-03,4346.88,4483.56,4313.56,4469.8,4606800364
2023-04-04,4454.5,4520.79,4443.03,4484.73,2854425555
2023-04-05,4474.9,4503.88,4466.57,4501.87,4486746943
2023-04-06,4506.16,4538.86,4411.69,4426.33,3905324338
2023-04-07,4417.17,4449.89,4415.46,4438.39,3328116247
2023-04-10,4448.93,4536.6,4437.6,4533.57,3407818688
2023-04-11,4531.58,4610.35,4528.23,4601.9,4108204734
2023-04-12,4612.44,4615.82,4581.62,4596.87,4136192054
2023-04-13,4585.01,4609.09,4571.43,4591.82,3307756178
2023-04-14,4591.18,4670.05,4549.32,4640.9,3812111235
2023-04-17,4635.59,4636.99,4528.96,4556.08,3674753361
2023-04-18,4549.8,4587.2,4536.0,4573.14,4693341865
2023-04-19,4561.75,4572.56,4544.34,4565.75,3457655977
2023-04-20,4575.72,4607.28,4550.1,4593.52,3524759010
2023-04-21,4582.59,4664.72,4560.67,4657.34,4211187701
2023-04-24,4640.69,4669.32,4628.99,4658.85,3338057585
2023-04-25,4662.3,4701.85,4617.34,4624.01,3886954809
2023-04-26,4638.4,4649.74,4581.83,4592.97,3464991689
2023-04-27,4572.08,4638.82,4560.54,4632.66,3834938742
2023-04-28,4633.17,4666.87,4628.94,4645.78,3642503874
2023-05-01,4655.85,4665.68,4553.1,4579.67,3426272583
2023-05-02,4578.87,4584.11,4578.68,4582.5,2942730254
2023-05-03,4591.48,4650.17,4550.16,4629.24,3640516403
2023-05-04,4629.38,4665.34,4596.57,4628.62,4042883985
2023-05-05,4592.77,4629.9,4523.18,4548.32,4334512719
2023-05-08,4545.21,4566.37,4491.28,4502.28,3249019237
2023-05-09,4488.87,4588.82,4486.67,4574.82,3812355610
2023-05-10,4576.48,4676.9,4566.22,4654.41,3513608028
2023-05-11,4659.77,4698.54,4643.56,4696.3,3535751791
2023-05-12,4698.85,4727.57,4688.18,4690.03,3624600545
2023-05-15,4699.69,4710.73,4626.21,4632.58,2849195054
2023-05-16,4614.07,4706.55,4594.53,4691.96,3132764632
2023-05-17,4693.01,4711.75,4663.71,4688.9,4549389151
2023-05-18,4668.51,4683.61,4555.5,4579.37,3605681323
2023-05-19,4588.87,4592.97,4586.11,4587.86,3411633541
2023-05-22,4581.04,4666.72,4571.67,4660.39,3853161745
2023-05-23,4658.11,4677.0,4637.56,4652.38,4507021208
2023-05-24,4662.6,4683.0,4645.29,4667.35,3951678375
2023-05-25,4679.45,4681.93,4661.22,4680.64,3811924177
2023-05-26,4680.55,4688.29,4553.35,4575.97,3875638638
2023-05-29,4575.97,4647.26,4550.13,4628.31,3315132810
2023-05-30,4637.11,4640.96,4543.44,4553.83,3836715714
2023-05-31,4568.31,4624.15,4563.3,4612.24,3533585706
2023-06-01,4621.59,4643.56,4523.78,4523.89,3553403890
2023-06-02,4492.07,4587.73,4489.49,4584.47,3514571472
2023-06-05,4597.82,4667.27,4596.23,4662.4,3605988018
2023-06-06,4644.11,4669.74,4616.09,4635.15,4199083165
2023-06-07,4664.08,4701.03,4572.23,4575.67,3347889673
2023-06-08,4581.42,4598.15,4528.85,4529.47,4344322354
2023-06-09,4556.72,4585.28,4426.91,4448.93,3093179352
2023-06-12,4435.16,4439.84,4389.34,4435.13,3685648972
2023-06-13,4420.27,4537.36,4393.94,4532.41,4119118762
2023-06-14,4558.8,4562.57,4514.79,4521.52,4075136247
2023-06-15,4503.35,4508.79,4492.26,4495.41,3883157525
2023-06-16,4488.52,4524.63,4457.33,4517.01,3246100235
2023-06-19,4513.72,4626.68,4469.9,4612.54,3877510816
2023-06-20,4623.85,4721.3,4621.62,4689.78,3537340120
2023-06-21,4664.85,4666.76,4604.77,4615.67,3995334092
2023-06-22,4604.61,4622.79,4589.9,4600.12,3283472398
2023-06-23,4599.8,4616.29,4586.01,4590.28,3419839980
2023-06-26,4597.26,4600.53,4582.73,4591.41,2973992711
2023-06-27,4595.22,4607.0,4542.69,4571.92,3879589126
2023-06-28,4569.47,4641.24,4561.24,4639.48,3923559091
2023-06-29,4640.49,4681.28,4625.96,4678.43,3714781069
2023-06-30,4675.56,4753.39,4666.37,4750.18,4193592941
2023-07-03,4763.16,4781.01,4682.99,4702.89,3902969731
2023-07-04,4707.09,4731.67,4699.32,4711.65,4021496796
2023-07-05,4729.45,4741.41,4651.62,4661.62,3893939245
2023-07-06,4657.04,4666.39,4618.72,4619.07,3861872331
2023-07-07,4621.58,4634.37,4525.39,4545.09,3722657305
2023-07-10,4554.61,4570.13,4444.24,4445.19,3303108912
2023-07-11,4443.18,4486.25,4392.93,4396.1,4132216011
2023-07-12,4389.58,4392.77,4374.82,4380.96,4347075875
2023-07-13,4371.9,4391.33,4368.72,4383.25,4578100187
2023-07-14,4369.41,4384.61,4331.09,4367.71,3964896998
2023-07-17,4351.55,4385.95,4278.46,4297.67,4084207238
2023-07-18,4275.12,4278.16,4225.56,4231.33,4016095006
2023-07-19,4231.23,4292.37,4229.13,4270.21,4050129740
2023-07-20,4251.79,4270.54,4234.57,4241.61,3595384993
2023-07-21,4254.73,4259.21,4238.04,4243.7,4141066672
2023-07-24,4261.37,4366.03,4242.24,4354.31,5676029371
2023-07-25,4349.45,4361.63,4265.05,4292.98,4010120037
2023-07-26,4296.43,4305.83,4215.37,4220.75,3189905105
2023-07-27,4215.22,4215.6,4176.59,4185.29,4167610202
2023-07-28,4163.56,4175.87,4116.51,4138.84,3513421846
2023-07-31,4144.94,4276.17,4131.11,4256.34,3921686235
2023-08-01,4286.66,4303.65,4186.04,4197.47,4530064945
2023-08-02,4184.93,4197.81,4178.86,4193.23,4237876046
2023-08-03,4175.61,4198.05,4164.37,4197.34,2708382081
2023-08-04,4179.3,4189.11,4131.09,4163.46,4729376828
2023-08-07,4157.63,4169.08,4118.52,4136.07,3590630706
2023-08-08,4163.46,4165.25,4122.22,4130.24,3859956991
2023-08-09,4117.58,4164.34,4098.37,4160.21,3660868223
2023-08-10,4169.46,4256.73,4153.9,4255.16,3644296020
2023-08-11,4247.99,4335.09,4224.64,4310.08,3654976853
2023-08-14,4284.12,4422.44,4252.4,4401.51,3754960076
2023-08-15,4412.4,4468.08,4360.02,4393.72,3516991853
2023-08-16,4381.95,4400.87,4361.16,4396.99,3599363516
2023-08-17,4400.2,4410.44,4328.67,4353.63,3471790727
2023-08-18,4354.25,4359.39,4337.42,4338.32,3018910635
2023-08-21,4326.41,4375.66,4298.92,4358.97,4380500815
2023-08-22,4374.01,4378.77,4323.27,4352.93,3258151784
2023-08-23,4342.93,4412.99,4339.81,4393.82,3711516418
2023-08-24,4389.52,4397.93,4296.81,4341.79,4051331763
2023-08-25,4358.78,4378.83,4273.64,4300.82,4393811971
2023-08-28,4292.61,4302.87,4214.74,4220.3,2972264015
2023-08-29,4217.84,4252.82,4207.91,4231.09,5317857149
2023-08-30,4230.82,4248.87,4129.63,4148.8,4210918988
2023-08-31,4139.12,4200.06,4105.52,4187.58,4654750070
2023-09-01,4184.3,4230.11,4171.74,4214.38,4287632097
2023-09-04,4205.35,4208.64,4127.66,4133.53,4278617431
2023-09-05,4135.11,4171.59,4073.44,4084.74,4235281442
2023-09-06,4094.15,4123.69,4083.29,4085.03,4411989202
2023-09-07,4092.26,4107.06,4031.19,4043.35,4349062099
2023-09-08,4033.59,4033.61,3980.8,4011.8,3954576476
2023-09-11,4003.0,4059.32,3984.16,4058.06,3514446813
2023-09-12,4057.59,4123.77,4054.3,4099.97,3701032036
2023-09-13,4091.99,4189.32,4070.69,4164.01,4007093937
2023-09-14,4164.57,4171.29,4028.75,4057.07,3435504293
2023-09-15,4045.99,4063.05,4018.72,4030.01,3082037762
2023-09-18,4010.59,4034.61,3956.51,3981.35,3539420532
2023-09-19,3966.7,3974.29,3949.12,3949.88,3584012023
2023-09-20,3968.76,3972.56,3921.6,3929.07,2506980028
2023-09-21,3903.48,3910.14,3893.61,3899.43,3462851116
2023-09-22,3887.47,3933.91,3863.31,3924.87,3669155874
2023-09-25,3931.18,3947.83,3900.68,3945.82,3592790081
2023-09-26,3913.15,3953.42,3907.38,3925.65,3211992252
2023-09-27,3940.2,3990.78,3917.58,3989.05,4009488025
2023-09-28,3975.04,3991.63,3926.72,3960.5,4083581628
2023-09-29,3984.87,3990.05,3950.72,3983.52,3381939506
2023-10-02,3987.77,4003.45,3956.51,3987.81,3635025156
2023-10-03,4006.28,4065.45,4000.02,4035.41,4348802628
2023-10-04,4049.92,4131.44,4036.51,4119.51,3405057844
2023-10-05,4131.66,4137.4,4048.75,4049.21,3510639974
2023-10-06,4052.03,4068.6,4030.23,4031.33,3923027437
2023-10-09,4022.34,4041.47,3992.21,4028.8,3499378520
2023-10-10,4039.54,4133.09,4027.25,4089.69,3482079847
2023-10-11,4092.0,4137.12,4081.58,4129.28,3350541642
2023-10-12,4114.13,4116.93,4091.58,4093.53,3885602663
2023-10-13,4104.66,4119.72,4033.92,4059.03,4155653947
2023-10-16,4067.22,4079.21,4056.61,4069.28,4444692670
2023-10-17,4093.41,4155.0,4088.11,4154.42,4008179445
2023-10-18,4162.14,4164.15,4152.32,4155.54,4679491084
2023-10-19,4156.37,4179.69,4153.87,4165.0,3945811128
2023-10-20,4149.75,4163.59,4130.88,4163.07,3905075612
2023-10-23,4174.52,4187.03,4100.69,4105.3,3749933061
2023-10-24,4081.1,4145.15,4078.67,4127.04,3972629716
2023-10-25,4114.6,4126.55,4107.13,4124.35,3265701478
2023-10-26,4121.75,4161.71,4110.77,4141.89,4167335666
2023-10-27,4131.39,4174.69,4107.08,4159.12,5239506248
2023-10-30,4156.5,4162.49,4101.88,4106.49,3507974746
2023-10-31,4094.2,4116.97,4013.62,4015.66,3457900297
2023-11-01,4018.26,4027.63,3968.9,3983.75,3606910106
2023-11-02,3967.91,4006.21,3961.48,3995.71,4004379041
2023-11-03,3993.63,4016.22,3987.47,4012.73,4473054875
2023-11-06,4018.54,4078.08,4000.87,4058.92,3468069215
2023-11-07,4064.38,4078.95,4029.15,4048.21,3801797413
2023-11-08,4042.43,4084.24,3939.76,3951.64,3525436075
2023-11-09,3947.79,3954.01,3914.56,3923.88,4551248456
2023-11-10,3910.44,4002.24,3885.08,3982.27,3392693915
2023-11-13,3955.51,4065.67,3935.68,4056.35,3727999937
2023-11-14,4077.0,4090.22,4047.67,4048.79,4113509907
2023-11-15,4038.81,4039.76,4036.26,4037.77,4242027716
2023-11-16,4032.33,4037.54,3990.62,3993.29,3707359884
2023-11-17,3984.95,4006.45,3977.93,3993.67,3252449953
2023-11-20,3996.28,4071.4,3991.75,4050.72,3883639299
2023-11-21,4064.8,4094.98,4053.3,4088.98,3497009228
2023-11-22,4079.83,4084.47,4041.82,4042.07,3554321496
2023-11-23,4046.29,4054.41,3990.8,4007.47,3724162571
2023-11-24,3994.61,4009.18,3981.09,3995.96,3820446842
2023-11-27,4002.28,4003.93,3988.01,4003.44,4628004242
2023-11-28,4008.73,4022.73,4003.09,4008.51,3235847741
2023-11-29,3989.64,4082.29,3975.75,4053.29,3893845584
2023-11-30,4074.59,4090.01,4038.16,4056.99,3500932037
2023-12-01,4044.74,4047.95,4042.54,4045.46,3393071426
2023-12-04,4028.57,4145.56,4022.51,4124.5,3696258557
2023-12-05,4116.84,4163.55,4106.21,4146.41,3458202346
2023-12-06,4140.44,4186.49,4130.7,4173.78,4320298166
2023-12-07,4183.6,4233.14,4174.95,4220.14,3669057929
2023-12-08,4223.84,4235.22,4122.1,4128.73,4063742039
2023-12-11,4116.17,4121.92,4054.56,4062.98,3883510092
2023-12-12,4063.55,4091.0,3973.31,4007.86,4158331819
2023-12-13,4001.13,4023.81,3924.05,3946.29,3600571720
2023-12-14,3957.92,3965.04,3923.95,3928.05,4178841765
2023-12-15,3932.89,3988.33,3916.87,3981.86,4684260813
2023-12-18,4003.01,4029.49,3989.42,4014.61,3254906757
2023-12-19,4014.02,4040.82,3952.77,3962.17,4233668697
2023-12-20,3968.51,3989.96,3923.97,3931.74,4311720214
2023-12-21,3935.16,3969.64,3914.75,3942.75,3361571548
2023-12-22,3935.48,4006.57,3935.24,4006.29,4336520123
2023-12-25,4011.72,4020.13,3940.37,3953.2,3694807101
2023-12-26,3944.76,4020.35,3939.2,4001.99,3099958550
2023-12-27,4004.14,4028.5,3992.35,4022.78,3679903521
2023-12-28,4043.18,4061.43,3943.91,3954.37,4372449524
2023-12-29,3962.91,4007.48,3957.96,3983.31,3276752537
2024-01-01,3992.83,4030.13,3972.62,4024.87,4419575275
2024-01-02,4008.28,4066.53,3985.18,4053.89,3558684779
2024-01-03,4046.13,4059.61,3990.64,4000.46,4162131981
2024-01-04,4008.0,4033.34,4002.03,4015.8,3839947341
2024-01-05,4036.36,4057.48,4014.05,4042.94,4309482362
