Date,Open,High,Low,Close,Volume
2022-01-03,174.58,174.92,173.86,174.67,71541927
2022-01-04,175.47,175.64,175.29,175.6,69653250
2022-01-05,177.82,178.42,176.96,177.38,77210143
2022-01-06,177.14,179.11,176.78,177.54,72873534
2022-01-07,179.72,179.99,179.3,179.92,70187406
2022-01-10,182.14,183.18,180.86,181.51,44709592
2022-01-11,181.79,184.79,181.65,183.37,50618505
2022-01-12,183.74,183.91,183.67,183.74,91372726
2022-01-13,182.31,182.35,181.71,182.07,60652578
2022-01-14,180.05,180.55,179.74,179.89,53022508
2022-01-17,184.4,185.01,182.29,183.79,73119450
2022-01-18,184.24,184.27,183.67,183.94,80064747
2022-01-19,185.07,186.5,183.86,185.7,62811930
2022-01-20,185.88,186.04,184.51,185.56,89986052
2022-01-21,183.87,185.44,183.79,184.04,83315219
2022-01-24,187.37,188.08,186.94,187.09,92867103
2022-01-25,192.31,192.99,190.56,190.59,74401868
2022-01-26,189.42,189.92,189.04,189.17,52431042
2022-01-27,181.59,183.13,181.25,182.48,89219284
2022-01-28,186.74,188.05,186.51,187.26,53897986
2022-01-31,187.99,188.82,187.59,187.59,50174212
2022-02-01,193.44,196.26,193.26,194.07,80616810
2022-02-02,199.5,199.6,199.16,199.21,41381681
2022-02-03,200.2,200.38,198.97,199.43,64567006
2022-02-04,197.83,199.03,197.28,197.66,81407836
2022-02-07,202.05,202.88,201.81,202.01,74117036
2022-02-08,200.08,200.21,199.87,199.95,97667687
2022-02-09,200.79,201.06,200.23,200.87,118055904
2022-02-10,202.28,202.92,199.94,201.29,85387553
2022-02-11,202.02,202.41,201.69,202.04,62839796
2022-02-14,200.82,201.8,200.31,201.51,45339494
2022-02-15,202.85,203.53,202.59,203.05,63449256
2022-02-16,202.31,204.57,202.18,203.11,120320206
2022-02-17,207.28,211.8,206.37,208.97,74828536
2022-02-18,206.95,206.96,206.25,206.87,76249662
2022-02-21,207.14,207.15,204.74,206.41,109858110
2022-02-22,201.61,202.13,200.89,201.84,64069809
2022-02-23,197.36,197.48,196.69,197.05,66299403
2022-02-24,201.19,201.39,200.77,201.24,117530962
2022-02-25,201.24,202.12,199.81,201.45,85063954
2022-02-28,199.13,199.73,197.64,198.01,87868183
2022-03-01,198.6,198.94,197.59,198.28,95025678
2022-03-02,201.76,204.3,201.08,201.3,84747958
2022-03-03,200.22,203.08,199.68,200.69,121323426
2022-03-04,201.76,205.18,201.73,203.11,48031058
2022-03-07,204.2,206.32,203.92,204.22,59606504
2022-03-08,206.74,208.11,206.39,207.32,90815913
2022-03-09,204.52,207.42,204.22,205.77,63303767
2022-03-10,203.46,204.1,203.23,203.62,82436076
2022-03-11,203.47,203.49,203.35,203.47,49704688
2022-03-14,206.54,208.26,206.29,206.69,60741029
2022-03-15,203.02,206.58,202.07,204.37,114987596
2022-03-16,205.44,206.67,203.41,204.44,84315295
2022-03-17,210.62,211.21,206.23,208.49,113063057
2022-03-18,214.64,214.99,212.4,213.6,80066988
2022-03-21,214.52,214.89,212.28,214.61,60377201
2022-03-22,214.69,216.25,214.23,215.69,111283766
2022-03-23,217.16,219.16,216.39,217.85,76941005
2022-03-24,213.38,217.55,212.84,215.84,59312747
2022-03-25,218.07,218.74,217.55,217.9,72680417
2022-03-28,217.88,218.73,216.72,217.58,57804455
2022-03-29,217.83,218.1,217.14,217.49,106402019
2022-03-30,216.64,217.43,216.25,217.31,45231153
2022-03-31,214.76,215.66,214.13,214.91,110733674
2022-04-01,212.75,213.17,211.86,212.76,84636946
2022-04-04,216.67,217.23,216.44,216.44,59142928
2022-04-05,212.07,213.71,211.62,212.64,86233196
2022-04-06,206.06,206.38,205.72,205.94,82215263
2022-04-07,203.2,206.09,202.37,204.13,61599667
2022-04-08,203.49,204.98,203.37,204.4,79222530
2022-04-11,200.53,201.5,200.22,200.75,89436995
2022-04-12,201.28,202.49,200.38,200.63,73247782
2022-04-13,204.11,204.19,203.63,204.1,119991487
