1	Wall Street Rallies as Fed Signals Pause on Rate Hikes	http://www.reuters.com/article/wall-street-rallies-fed-pause	Reuters	b	dQBMM3e7Hecyl7gfNaFFnA	www.reuters.com	1394470370698
2	Apple Reports Record Quarterly Revenue of 124 Billion Dollars	http://www.bloomberg.com/news/apple-record-revenue-q4	Bloomberg	b	kL9mNx2pRtYvWz8qJhFgEa	www.bloomberg.com	1394470371698
3	Google Unveils New AI-Powered Search Features at Annual Conference	http://www.theverge.com/google-ai-search-features	The Verge	t	xP4nRt7mKsYvLw2qJhDgBa	www.theverge.com	1394470372698
4	Taylor Swift Breaks Billboard Record With Latest Album Release	http://www.billboard.com/taylor-swift-breaks-record	Billboard	e	mN7kRt3pLsYvWx9qJhFgCa	www.billboard.com	1394470373698
5	New Study Links Mediterranean Diet to Lower Risk of Heart Disease	http://www.webmd.com/mediterranean-diet-heart-disease	WebMD	m	qR8nKt5mPsYvLw4xJhDgEa	www.webmd.com	1394470374698
6	Amazon Acquires Robotics Startup for 1.2 Billion Dollars	http://www.wsj.com/articles/amazon-acquires-robotics-startup	Wall Street Journal	b	fT3nRt8mKsYvWx6qJhFgAa	www.wsj.com	1394470375698
7	Tesla Stock Surges 12 Percent After Strong Delivery Numbers	http://www.cnbc.com/tesla-stock-surges-deliveries	CNBC	b	hY5nKt2mPsYvLw7xJhDgBa	www.cnbc.com	1394470376698
8	SpaceX Successfully Launches Crew Dragon Mission to ISS	http://www.space.com/spacex-crew-dragon-launch-iss	Space.com	t	jU9nRt4mKsYvWx1qJhFgCa	www.space.com	1394470377698
9	Leonardo DiCaprio to Star in Martin Scorsese New Film	http://www.variety.com/dicaprio-scorsese-new-film	Variety	e	bW2nKt6mPsYvLw3xJhDgDa	www.variety.com	1394470378698
10	FDA Approves Breakthrough Drug for Treatment of Alzheimer Disease	http://www.reuters.com/article/fda-approves-alzheimer-drug	Reuters	m	nX4nRt9mKsYvWx5qJhFgEa	www.reuters.com	1394470379698
11	JPMorgan Chase Posts Better Than Expected Earnings for Q3	http://www.bloomberg.com/news/jpmorgan-q3-earnings-beat	Bloomberg	b	pZ6nKt1mPsYvLw8xJhDgFa	www.bloomberg.com	1394470380698
12	Microsoft Announces Major Layoffs Affecting 10000 Employees	http://www.wsj.com/articles/microsoft-layoffs-10000	Wall Street Journal	b	rA8nRt3mKsYvWx2qJhFgGa	www.wsj.com	1394470381698
13	Samsung Reveals Next Generation Foldable Smartphone at CES	http://www.cnet.com/samsung-foldable-phone-ces	CNET	t	tC1nKt5mPsYvLw4xJhDgHa	www.cnet.com	1394470382698
14	Beyonce Wins Album of the Year at Grammy Awards Ceremony	http://www.rollingstone.com/beyonce-grammy-album-year	Rolling Stone	e	vE3nRt7mKsYvWx6qJhFgIa	www.rollingstone.com	1394470383698
15	Researchers Discover New Antibiotic That Kills Drug Resistant Bacteria	http://www.nature.com/new-antibiotic-drug-resistant	Nature	m	xG5nKt9mPsYvLw1xJhDgJa	www.nature.com	1394470384698
16	Oil Prices Drop Sharply Amid Global Demand Concerns	http://www.reuters.com/article/oil-prices-drop-demand	Reuters	b	zI7nRt2mKsYvWx3qJhFgKa	www.reuters.com	1394470385698
17	Goldman Sachs Warns of Potential Recession in 2024	http://www.cnbc.com/goldman-sachs-recession-warning	CNBC	b	bK9nKt4mPsYvLw5xJhDgLa	www.cnbc.com	1394470386698
18	NASA Confirms Discovery of Water on Mars Surface	http://www.nasa.gov/mars-water-discovery-confirmed	NASA	t	dM2nRt6mKsYvWx8qJhFgMa	www.nasa.gov	1394470387698
19	Netflix Original Series Breaks All Time Streaming Record	http://www.hollywoodreporter.com/netflix-series-streaming-record	Hollywood Reporter	e	fO4nKt8mPsYvLw2xJhDgNa	www.hollywoodreporter.com	1394470388698
20	WHO Declares End of Global Mpox Health Emergency	http://www.who.int/mpox-emergency-declaration-end	WHO	m	hQ6nRt1mKsYvWx4qJhFgOa	www.who.int	1394470389698
