Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
23632.175,569.5973,219.4202,160.6044,1.4217,0.7165,33640.7477,194.3337,0.7556,0.9794,0.8113,0.853,0.0094,0.003,0.7614,0.9996,SEKER
62378.4862,1038.5265,370.1715,225.5928,2.1768,0.7432,59071.1578,304.0698,0.7149,0.9748,0.7886,0.6822,0.0061,0.0018,0.6302,0.9694,BARBUNYA
16228.8155,613.617,245.27,144.007,1.3636,0.7845,34427.225,193.4866,0.7683,0.9765,0.8784,0.7436,0.0083,0.0029,0.6511,0.9859,DERMASON
89976.132,1209.5512,420.5177,260.8322,1.598,0.757,93261.4897,333.6784,0.7397,0.9695,0.855,0.8007,0.0047,0.0014,0.5928,0.9832,BOMBAY
45978.9584,975.2685,357.3716,157.0198,2.7722,0.9175,43685.8751,235.7627,0.6437,0.9494,0.5908,0.6222,0.0067,0.0021,0.4965,0.9553,CALI
27442.6521,589.7018,226.0309,164.3298,1.2818,0.6293,25737.5493,175.2712,0.7767,0.9584,0.8719,0.7993,0.0061,0.003,0.6547,0.9872,SEKER
27466.1227,584.4118,242.6015,138.128,1.5468,0.784,24451.1358,181.8339,0.7728,0.9629,0.852,0.7794,0.0096,0.0025,0.6593,0.9725,DERMASON
56209.3074,1002.4172,381.5887,180.9026,1.8735,0.8044,60422.4492,240.4684,0.6745,0.9779,0.8113,0.697,0.0061,0.0018,0.5875,0.9406,BARBUNYA
94626.7791,1133.9473,422.7116,274.2543,1.6131,0.7939,81768.8047,363.2133,0.6963,0.9676,0.8193,0.7646,0.0051,0.0011,0.6159,0.9813,BOMBAY
20992.3257,612.561,209.1419,168.1545,1.4765,0.739,26441.5798,189.3936,0.8146,0.9646,0.8304,0.7732,0.0089,0.0027,0.6781,0.9914,DERMASON
29843.0596,709.9049,238.2681,171.1296,1.4658,0.8155,28930.6363,184.918,0.6664,0.9839,0.8073,0.7373,0.0106,0.0017,0.6021,0.9843,SIRA
52656.4738,913.9368,366.032,180.889,2.0207,0.9102,58742.5466,256.5685,0.6383,0.9712,0.6248,0.6807,0.0084,0.0013,0.4523,0.9607,CALI
28386.8931,613.5413,209.6491,137.3482,1.4641,0.7547,13437.3898,181.161,0.7352,0.984,0.8735,0.7753,0.0085,0.0028,0.6647,0.9646,DERMASON
40763.522,907.4573,425.7061,143.5343,2.9821,0.9584,51356.2541,245.5815,0.6494,0.9457,0.4955,0.6335,0.0072,0.0012,0.4009,0.9537,HOROZ
24782.1472,607.2069,244.2811,138.52,1.6665,0.7164,38785.1299,175.0391,0.7942,0.9595,0.7049,0.7632,0.0076,0.0022,0.6693,0.9635,SIRA
23914.323,650.5623,214.4268,139.922,1.3285,0.8301,24537.6304,193.9578,0.646,0.9915,0.8056,0.8052,0.0081,0.0027,0.5529,0.9779,DERMASON
22040.5586,631.921,236.4904,157.1624,1.4261,0.7561,28166.8795,198.6472,0.7385,0.9751,0.727,0.7893,0.0064,0.0024,0.5283,0.9833,SIRA
56502.8471,954.855,392.6005,210.504,1.7223,0.868,69101.7686,274.2884,0.7412,0.9538,0.8133,0.7444,0.0075,0.0019,0.5817,0.9531,BARBUNYA
36174.5954,926.4957,366.6415,125.8098,2.7786,0.9419,50612.2384,262.5492,0.5721,0.9597,0.4933,0.6068,0.0106,0.001,0.3135,0.9352,HOROZ
60660.5285,933.2504,399.1369,200.904,2.0035,0.8324,74652.1828,294.9469,0.7263,0.9744,0.7277,0.8096,0.0056,0.0018,0.5132,0.9509,BARBUNYA
53427.5558,1008.9553,446.3894,177.6457,2.3851,0.8877,61561.075,221.3479,0.7246,0.9745,0.7124,0.7026,0.0082,0.0015,0.4379,0.9585,CALI
23668.5256,555.9946,236.1418,159.1422,1.6581,0.7534,20809.5865,165.859,0.6906,0.9659,0.8486,0.8225,0.0071,0.0034,0.67,0.9814,DERMASON
47468.4057,841.9248,382.8446,171.5101,2.681,0.9095,44661.2008,225.4634,0.6583,0.959,0.5869,0.6704,0.009,0.0017,0.3813,0.9411,HOROZ
50540.8923,929.0995,419.7103,178.6875,2.3878,0.8442,46826.8738,265.0035,0.5615,0.9609,0.6498,0.6514,0.0071,0.0018,0.5384,0.9484,CALI
27696.523,660.5449,242.9095,141.1411,1.769,0.6448,32489.7903,177.1403,0.7353,0.9727,0.7554,0.7901,0.0095,0.0025,0.5915,0.995,SIRA
57467.3855,997.1375,380.4116,199.0667,1.9643,0.8423,61169.385,255.2729,0.7171,0.9642,0.7084,0.7136,0.0075,0.0014,0.525,0.9802,BARBUNYA
29240.4836,577.4897,273.0776,179.7414,1.547,0.8214,33593.0809,173.0519,0.836,0.9578,0.7114,0.7545,0.0076,0.0028,0.6477,0.9765,SIRA
25598.0582,599.5979,225.6821,140.2417,1.4839,0.6546,17785.7734,166.7758,0.7314,0.9803,0.7995,0.7579,0.0108,0.0026,0.634,0.9766,DERMASON
22119.1786,636.7501,275.7438,152.284,1.5084,0.7091,26020.5964,188.8072,0.7331,0.9666,0.8103,0.7746,0.0091,0.0024,0.6023,0.9803,SIRA
