DBN,School Name,Borough,Total Enrollment,White Pct,Black Pct,Hispanic Pct,Asian Pct,Male Pct,Female Pct,Free Lunch Pct,ELL Pct
01M292,Henry Street School for International Studies,Manhattan,355,4.2,32.1,55.5,8.2,52.4,47.6,78.3,15.2
01M448,University Neighborhood High School,Manhattan,497,8.9,15.3,62.5,13.3,55.1,44.9,71.2,22.5
01M450,East Side Community School,Manhattan,469,29.6,12.8,44.1,13.4,51.2,48.8,52.7,5.3
01M458,Forsyth Satellite Academy,Manhattan,120,5.0,30.0,55.0,10.0,48.3,51.7,80.0,8.3
01M509,Marta Valle High School,Manhattan,328,3.7,10.4,78.0,7.9,53.0,47.0,82.6,18.9
01M515,Lower East Side Preparatory High School,Manhattan,458,1.5,4.6,42.6,51.3,44.8,55.2,85.4,72.3
01M539,New Explorations into Science Technology and Math,Manhattan,1068,42.1,6.5,18.7,32.7,49.3,50.7,22.5,1.2
02M047,47 The American Sign Language and English Secondary School,Manhattan,160,43.8,18.8,25.0,12.5,50.0,50.0,45.0,3.1
02M288,Food and Finance High School,Manhattan,407,14.5,28.3,48.6,8.6,55.3,44.7,65.4,7.1
02M294,Essex Street Academy,Manhattan,345,18.3,22.6,47.5,11.6,52.8,47.2,62.3,9.9
02M296,High School of Hospitality Management,Manhattan,488,8.2,30.5,52.3,9.0,48.6,51.4,72.1,12.3
02M298,Pace High School,Manhattan,530,12.5,25.3,50.2,12.1,51.7,48.3,68.5,10.8
02M300,Urban Assembly School of Design and Construction,Manhattan,440,10.2,32.5,48.4,8.9,58.4,41.6,70.5,8.2
02M303,The Facing History School,Manhattan,380,22.4,25.3,40.5,11.8,49.5,50.5,58.4,6.3
02M305,Urban Assembly Academy of Government and Law,Manhattan,395,8.9,38.5,44.3,8.4,54.2,45.8,72.4,7.6
02M308,Lower Manhattan Arts Academy,Manhattan,310,28.4,18.7,38.1,14.8,45.2,54.8,48.7,4.5
02M313,James Baldwin School,Manhattan,220,38.6,20.0,30.9,10.5,47.3,52.7,42.3,3.2
02M316,Murray Hill Academy,Manhattan,345,15.4,28.7,45.2,10.7,52.5,47.5,65.8,9.6
02M374,Gramercy Arts High School,Manhattan,290,35.2,15.5,35.9,13.4,44.8,55.2,40.3,3.8
02M376,NYC iSchool,Manhattan,380,45.3,12.1,28.4,14.2,48.7,51.3,32.6,2.1
02M392,Manhattan Business Academy,Manhattan,410,6.3,35.4,50.2,8.0,53.7,46.3,75.6,11.5
02M394,Emma Lazarus High School,Manhattan,350,2.9,8.6,55.7,32.9,47.1,52.9,82.9,65.4
02M399,The High School for Language and Diplomacy,Manhattan,320,10.6,22.5,55.0,11.9,50.3,49.7,68.4,15.6
02M400,High School for Environmental Studies,Manhattan,1220,28.4,18.0,35.2,18.4,49.8,50.2,45.3,5.7
02M407,Institute for Collaborative Education,Manhattan,305,32.8,22.0,33.4,11.8,48.5,51.5,45.9,4.3
02M408,Professional Performing Arts High School,Manhattan,310,48.4,14.2,25.8,11.6,38.7,61.3,35.5,2.6
02M411,Baruch College Campus High School,Manhattan,1085,18.5,8.3,22.5,50.7,48.2,51.8,42.1,5.8
02M412,N.Y.C. Lab School for Collaborative Studies,Manhattan,1120,52.3,8.0,18.8,20.9,46.4,53.6,22.3,1.5
