DBN,School Name,Number of Test Takers,Critical Reading Mean,Mathematics Mean,Writing Mean
01M292,Henry Street School for International Studies,29,355,404,363
01M448,University Neighborhood High School,91,383,423,366
01M450,East Side Community School,70,377,402,370
01M458,Forsyth Satellite Academy,7,414,401,359
01M509,Marta Valle High School,44,390,433,384
01M515,Lower East Side Preparatory High School,112,332,557,316
01M539,New Explorations into Science Technology and Math,159,522,574,525
02M047,47 The American Sign Language and English Secondary School,16,395,400,387
02M288,Food and Finance High School,62,409,393,392
02M294,Essex Street Academy,53,394,384,378
02M296,High School of Hospitality Management,58,374,390,372
02M298,Pace High School,85,394,378,385
02M300,Urban Assembly School of Design and Construction,68,381,389,381
02M303,The Facing History School,54,383,380,378
02M305,Urban Assembly Academy of Government and Law,57,381,374,370
02M308,Lower Manhattan Arts Academy,40,404,392,401
02M313,James Baldwin School,30,410,406,415
02M316,Murray Hill Academy,51,395,384,380
02M374,Gramercy Arts High School,41,423,405,413
02M376,NYC iSchool,56,462,444,459
02M392,Manhattan Business Academy,60,370,377,360
02M394,Emma Lazarus High School,52,s,s,s
02M399,The High School for Language and Diplomacy,42,378,381,370
02M400,High School for Environmental Studies,177,428,422,424
02M407,Institute for Collaborative Education,46,410,397,409
02M408,Professional Performing Arts High School,48,443,422,443
02M411,Baruch College Campus High School,105,487,510,488
02M412,N.Y.C. Lab School for Collaborative Studies,147,458,454,457
02M413,School of the Future High School,113,437,434,431
02M414,N.Y.C. Museum School,42,431,407,427
02M416,Eleanor Roosevelt High School,155,508,510,505
02M418,Millennium High School,141,499,510,497
02M419,Landmark High School,42,385,381,383
02M420,High School for Health Professions and Human Services,79,395,395,389
02M422,Quest to Learn,s,s,s,s
02M425,High School of Economics and Finance,131,411,428,406
02M427,Manhattan Academy of Technology,38,371,381,363
02M437,Life Sciences Secondary School,55,413,394,404
02M438,International High School at Union Square,42,s,s,s
02M439,Manhattan Village Academy,60,434,413,432
02M440,Vanguard High School,42,393,381,389
02M442,Humanities Preparatory Academy,40,413,394,413
02M449,Bard High School Early College,148,569,563,568
02M459,Talent Unlimited High School,100,449,434,445
02M460,The Urban Assembly School of Business for Young Women,42,381,370,374
02M465,Jacqueline Kennedy Onassis High School,120,395,381,389
02M466,Metropolitan Expeditionary Learning School,38,413,394,404
02M475,Stuyvesant High School,832,679,735,682
02M489,High School for Dual Language and Asian Studies,52,432,479,424
02M490,Hudson High School of Learning Technologies,44,381,370,374
02M505,The High School for Climate Justice,38,s,s,s
02M519,Repertory Company High School for Theatre Arts,32,413,394,404
