VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,RatecodeID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-01-15 08:30:00,2020-01-15 08:45:00,1,2.5,236,141,1,1,12.00,0.00,0.50,2.50,0.00,0.30,15.30,2.50
2,2020-01-15 09:00:00,2020-01-15 09:22:00,2,5.1,48,230,1,1,18.50,0.00,0.50,4.00,0.00,0.30,23.30,2.50
1,2020-01-15 10:15:00,2020-01-15 10:28:00,1,3.2,163,229,1,2,11.50,0.00,0.50,0.00,0.00,0.30,12.30,0.00
2,2020-01-15 12:00:00,2020-01-15 12:35:00,3,8.7,132,265,1,1,28.00,0.00,0.50,5.76,0.00,0.30,34.56,2.50
1,2020-01-20 07:45:00,2020-01-20 08:10:00,1,4.0,236,170,1,1,16.00,0.00,0.50,3.36,0.00,0.30,20.16,2.50
2,2020-01-20 14:30:00,2020-01-20 14:42:00,2,1.8,230,162,1,2,9.00,0.00,0.50,0.00,0.00,0.30,9.80,0.00
1,2020-01-20 18:00:00,2020-01-20 18:45:00,1,12.3,132,1,2,1,52.00,1.00,0.50,10.00,6.12,0.30,69.92,2.50
2,2020-02-05 09:30:00,2020-02-05 09:48:00,1,3.6,237,161,1,1,14.00,0.00,0.50,2.96,0.00,0.30,17.76,2.50
1,2020-02-05 11:00:00,2020-02-05 11:20:00,2,4.5,170,233,1,2,16.50,0.00,0.50,0.00,0.00,0.30,17.30,0.00
2,2020-02-10 08:15:00,2020-02-10 08:40:00,1,6.2,48,239,1,1,21.00,0.00,0.50,4.36,0.00,0.30,26.16,2.50
1,2020-02-10 16:00:00,2020-02-10 16:12:00,3,2.1,236,141,1,1,9.50,1.00,0.50,2.26,0.00,0.30,13.56,2.50
2,2020-02-14 19:00:00,2020-02-14 19:30:00,2,7.8,163,1,1,1,26.00,1.00,0.50,5.56,0.00,0.30,33.36,2.50
1,2020-03-02 10:00:00,2020-03-02 10:18:00,1,3.0,230,48,1,2,12.50,0.00,0.50,0.00,0.00,0.30,13.30,0.00
2,2020-03-02 13:30:00,2020-03-02 13:55:00,4,5.5,265,132,1,1,19.00,0.00,0.50,3.96,0.00,0.30,23.76,2.50
1,2020-03-10 07:00:00,2020-03-10 07:25:00,1,4.8,141,236,1,1,17.50,0.00,0.50,3.66,0.00,0.30,21.96,2.50
2,2020-03-10 15:45:00,2020-03-10 16:00:00,2,2.3,162,170,1,2,10.00,0.00,0.50,0.00,0.00,0.30,10.80,0.00
1,2020-03-15 20:00:00,2020-03-15 20:40:00,1,10.5,1,132,1,1,35.00,0.50,0.50,7.26,0.00,0.30,43.56,2.50
2,2020-04-08 09:00:00,2020-04-08 09:15:00,1,2.0,233,161,1,1,10.00,0.00,0.50,2.16,0.00,0.30,12.96,2.50
1,2020-04-08 14:00:00,2020-04-08 14:30:00,2,6.3,239,237,1,2,22.00,0.00,0.50,0.00,0.00,0.30,22.80,0.00
2,2020-04-15 11:30:00,2020-04-15 11:50:00,1,3.8,141,163,1,1,14.50,0.00,0.50,3.06,0.00,0.30,18.36,2.50
1,2020-04-15 17:00:00,2020-04-15 17:22:00,3,4.2,170,230,1,3,15.00,0.00,0.50,0.00,0.00,0.30,15.80,0.00
2,2020-05-01 08:00:00,2020-05-01 08:20:00,1,3.5,236,162,1,1,13.00,0.00,0.50,2.76,0.00,0.30,16.56,2.50
1,2020-05-01 12:30:00,2020-05-01 12:48:00,2,4.0,48,141,1,2,15.00,0.00,0.50,0.00,0.00,0.30,15.80,0.00
2,2020-05-12 10:00:00,2020-05-12 10:35:00,1,8.5,132,239,1,1,28.50,0.00,0.50,5.86,0.00,0.30,35.16,2.50
1,2020-05-12 16:00:00,2020-05-12 16:10:00,1,1.5,163,170,1,4,7.50,0.00,0.50,0.00,0.00,0.30,8.30,0.00
2,2020-06-03 09:15:00,2020-06-03 09:35:00,2,4.3,230,233,1,1,15.50,0.00,0.50,3.26,0.00,0.30,19.56,2.50
1,2020-06-03 14:45:00,2020-06-03 15:00:00,1,2.0,265,161,1,2,9.50,0.00,0.50,0.00,0.00,0.30,10.30,0.00
2,2020-06-18 11:00:00,2020-06-18 11:30:00,3,7.0,237,1,1,1,24.00,0.00,0.50,4.96,0.00,0.30,29.76,2.50
1,2020-06-18 18:30:00,2020-06-18 18:50:00,1,3.5,141,236,1,1,13.50,1.00,0.50,3.06,0.00,0.30,18.36,2.50
2,2020-01-15 11:00:00,2020-01-15 11:00:00,1,2.0,236,141,1,1,10.00,0.00,0.50,2.00,0.00,0.30,12.80,2.50
1,2020-02-20 09:00:00,2020-02-20 09:15:00,0,3.0,163,229,1,2,11.00,0.00,0.50,0.00,0.00,0.30,11.80,0.00
2,2020-03-05 14:00:00,2020-03-05 14:20:00,2,-1.5,132,265,1,1,15.00,0.00,0.50,3.00,0.00,0.30,18.80,2.50
1,2020-04-10 10:00:00,2020-04-10 10:18:00,1,4.0,236,170,1,1,-5.00,0.00,0.50,0.00,0.00,0.30,-4.20,0.00
2,2020-05-20 08:30:00,2020-05-20 08:45:00,1,3.2,48,162,1,2,12.00,0.00,0.50,0.00,0.00,0.30,12.80,0.00
1,,2020-06-25 10:30:00,2,5.0,230,233,1,1,18.00,0.00,0.50,3.50,0.00,0.30,22.30,2.50
2,2020-03-22 16:00:00,,1,4.5,265,141,1,1,16.00,0.00,0.50,3.26,0.00,0.30,20.06,2.50
1,2020-04-28 12:00:00,2020-04-28 11:45:00,1,3.0,141,163,1,2,11.50,0.00,0.50,0.00,0.00,0.30,12.30,0.00
2,2020-05-30 07:00:00,2020-05-30 07:12:00,5,2.8,237,161,1,1,10.50,0.00,0.50,2.26,0.00,0.30,13.56,2.50
1,2020-06-28 15:00:00,2020-06-28 15:25:00,1,5.5,132,239,1,5,19.50,0.00,0.50,0.00,0.00,0.30,20.30,0.00
2,2020-01-25 10:30:00,2020-01-25 10:55:00,2,6.0,163,1,2,1,45.00,0.00,0.50,9.26,6.12,0.30,61.18,2.50
