pickup_datetime,dropoff_datetime,pickup_borough,dropoff_borough,fare_amount,tip_amount,tolls_amount,total_amount,trip_distance,passenger_count
2024-01-05 08:15:00,2024-01-05 08:32:00,Manhattan,Manhattan,12.50,2.50,0.00,16.30,2.1,1
2024-01-10 14:22:00,2024-01-10 14:45:00,Brooklyn,Manhattan,18.00,3.60,0.00,23.10,4.5,2
2024-01-15 19:05:00,2024-01-15 19:28:00,Queens,Manhattan,22.00,4.40,5.80,34.70,7.2,1
2024-01-20 07:30:00,2024-01-20 07:52:00,Manhattan,Brooklyn,15.00,3.00,0.00,19.50,3.3,1
2024-01-25 23:10:00,2024-01-25 23:35:00,Bronx,Manhattan,25.00,5.00,5.80,38.30,9.1,3
2024-02-02 09:00:00,2024-02-02 09:18:00,Manhattan,Queens,14.00,2.80,0.00,18.30,3.0,1
2024-02-08 12:45:00,2024-02-08 13:10:00,Brooklyn,Brooklyn,10.50,2.10,0.00,14.10,2.0,2
2024-02-14 18:30:00,2024-02-14 18:55:00,Manhattan,Manhattan,20.00,5.00,0.00,27.50,4.2,1
2024-02-20 06:15:00,2024-02-20 06:40:00,Queens,Brooklyn,16.50,3.30,0.00,21.30,3.8,1
2024-02-28 21:00:00,2024-02-28 21:30:00,Staten Island,Manhattan,35.00,7.00,6.50,52.00,14.5,2
2024-03-05 10:30:00,2024-03-05 10:50:00,Manhattan,Manhattan,11.00,2.20,0.00,14.70,1.8,1
2024-03-12 15:00:00,2024-03-12 15:25:00,Brooklyn,Queens,13.50,2.70,0.00,17.70,3.1,1
2024-03-18 08:45:00,2024-03-18 09:15:00,Manhattan,Bronx,24.00,4.80,0.00,31.30,6.5,2
2024-03-22 20:00:00,2024-03-22 20:20:00,Queens,Queens,9.50,1.90,0.00,12.90,1.5,1
2024-03-30 11:30:00,2024-03-30 12:00:00,Bronx,Brooklyn,19.00,3.80,0.00,24.80,5.0,1
2024-04-03 07:00:00,2024-04-03 07:22:00,Manhattan,Manhattan,13.00,2.60,0.00,17.10,2.4,1
2024-04-10 16:30:00,2024-04-10 16:55:00,Brooklyn,Manhattan,17.50,3.50,0.00,22.50,4.0,2
2024-04-15 13:15:00,2024-04-15 13:40:00,Queens,Manhattan,21.00,4.20,5.80,33.50,6.8,1
2024-04-22 09:45:00,2024-04-22 10:10:00,Manhattan,Brooklyn,15.50,3.10,0.00,20.10,3.5,1
2024-04-28 22:00:00,2024-04-28 22:25:00,Staten Island,Brooklyn,28.00,5.60,6.50,43.60,11.2,1
2024-05-04 08:30:00,2024-05-04 08:50:00,Manhattan,Manhattan,12.00,2.40,0.00,15.90,2.0,1
2024-05-11 14:00:00,2024-05-11 14:30:00,Brooklyn,Manhattan,19.50,3.90,0.00,25.40,4.8,3
2024-05-17 19:30:00,2024-05-17 19:55:00,Manhattan,Queens,16.00,3.20,0.00,20.70,3.6,1
2024-05-23 06:00:00,2024-05-23 06:25:00,Bronx,Manhattan,23.00,4.60,5.80,36.40,8.0,2
2024-05-30 17:45:00,2024-05-30 18:10:00,Queens,Brooklyn,14.50,2.90,0.00,18.90,3.2,1
2024-06-02 10:00:00,2024-06-02 10:20:00,Manhattan,Manhattan,11.50,2.30,0.00,15.30,1.9,1
2024-06-09 15:30:00,2024-06-09 15:55:00,Brooklyn,Queens,14.00,2.80,0.00,18.30,3.0,1
2024-06-16 08:00:00,2024-06-16 08:30:00,Queens,Manhattan,20.50,4.10,5.80,33.40,6.5,2
2024-06-22 21:15:00,2024-06-22 21:40:00,Manhattan,Brooklyn,16.50,3.30,0.00,21.30,3.7,1
2024-06-30 12:00:00,2024-06-30 12:25:00,Bronx,Manhattan,18.00,3.60,0.00,23.60,4.5,1
2024-07-04 09:30:00,2024-07-04 09:55:00,Manhattan,Manhattan,14.50,2.90,0.00,18.90,2.8,1
2024-07-11 16:00:00,2024-07-11 16:30:00,Brooklyn,Manhattan,21.00,4.20,0.00,27.20,5.2,2
2024-07-18 07:15:00,2024-07-18 07:40:00,Queens,Brooklyn,15.00,3.00,0.00,19.50,3.4,1
2024-07-24 20:30:00,2024-07-24 20:55:00,Manhattan,Queens,17.50,3.50,0.00,22.50,4.0,1
2024-07-31 13:00:00,2024-07-31 13:30:00,Staten Island,Manhattan,32.00,6.40,6.50,48.40,13.0,2
2024-08-05 08:00:00,2024-08-05 08:22:00,Manhattan,Manhattan,13.00,2.60,0.00,17.10,2.3,1
2024-08-12 14:30:00,2024-08-12 14:55:00,Brooklyn,Brooklyn,11.50,2.30,0.00,15.30,2.2,1
2024-08-19 18:00:00,2024-08-19 18:30:00,Manhattan,Bronx,22.50,4.50,0.00,29.50,5.8,2
2024-08-25 10:15:00,2024-08-25 10:40:00,Queens,Manhattan,19.00,3.80,5.80,31.10,6.0,1
2024-08-30 23:00:00,2024-08-30 23:25:00,Bronx,Brooklyn,16.00,3.20,0.00,20.90,3.9,1
2024-09-03 07:30:00,2024-09-03 07:50:00,Manhattan,Manhattan,12.50,2.50,0.00,16.50,2.1,1
2024-09-10 15:15:00,2024-09-10 15:40:00,Brooklyn,Manhattan,18.50,3.70,0.00,24.20,4.3,2
2024-09-17 09:00:00,2024-09-17 09:25:00,Queens,Queens,10.00,2.00,0.00,13.50,1.7,1
2024-09-22 19:30:00,2024-09-22 19:55:00,Manhattan,Brooklyn,15.50,3.10,0.00,20.10,3.5,1
2024-09-28 12:45:00,2024-09-28 13:10:00,Bronx,Manhattan,20.00,4.00,5.80,32.80,5.5,1
2024-10-06 08:15:00,2024-10-06 08:35:00,Manhattan,Manhattan,13.50,2.70,0.00,17.70,2.5,1
2024-10-13 16:45:00,2024-10-13 17:10:00,Brooklyn,Manhattan,19.00,3.80,0.00,24.80,4.6,2
2024-10-20 10:00:00,2024-10-20 10:30:00,Queens,Manhattan,21.50,4.30,5.80,34.10,7.0,1
2024-10-26 19:00:00,2024-10-26 19:25:00,Manhattan,Queens,16.00,3.20,0.00,20.70,3.6,1
2024-10-31 14:30:00,2024-10-31 14:55:00,Bronx,Brooklyn,17.00,3.40,0.00,22.40,4.2,1
2024-11-04 07:00:00,2024-11-04 07:20:00,Manhattan,Manhattan,11.00,2.20,0.00,14.70,1.8,1
2024-11-11 15:30:00,2024-11-11 15:55:00,Brooklyn,Queens,15.50,3.10,0.00,20.10,3.5,1
2024-11-18 09:15:00,2024-11-18 09:45:00,Manhattan,Bronx,23.00,4.60,0.00,30.10,6.2,2
2024-11-24 20:00:00,2024-11-24 20:25:00,Queens,Manhattan,18.00,3.60,5.80,29.90,5.8,1
2024-11-30 11:00:00,2024-11-30 11:25:00,Staten Island,Brooklyn,30.00,6.00,6.50,46.00,12.0,1
2024-12-03 08:30:00,2024-12-03 08:50:00,Manhattan,Manhattan,12.00,2.40,0.00,15.90,2.0,1
2024-12-10 14:15:00,2024-12-10 14:40:00,Brooklyn,Manhattan,17.00,3.40,0.00,22.40,3.9,2
2024-12-17 18:45:00,2024-12-17 19:10:00,Manhattan,Brooklyn,19.50,3.90,0.00,25.40,4.5,1
2024-12-22 10:30:00,2024-12-22 11:00:00,Queens,Manhattan,22.00,4.40,5.80,34.70,7.1,1
2024-12-29 21:00:00,2024-12-29 21:30:00,Bronx,Manhattan,21.00,4.20,5.80,33.50,6.0,3
2024-01-08 11:00:00,2024-01-08 11:20:00,Manhattan,Manhattan,10.00,2.00,0.00,-5.50,1.5,1
2024-03-14 09:00:00,2024-03-14 09:20:00,Manhattan,Manhattan,12.00,2.40,0.00,0.00,2.0,1
not-a-date,2024-04-05 10:00:00,Brooklyn,Manhattan,15.00,3.00,0.00,19.50,3.5,1
2024-06-20 14:00:00,2024-06-20 14:25:00,,Manhattan,18.00,3.60,0.00,23.10,4.0,2
2024-08-15 16:30:00,2024-08-15 16:55:00,Unknown,Brooklyn,14.00,2.80,0.00,18.30,3.0,1
2024-10-10 08:00:00,2024-10-10 08:20:00,Manhattan,Manhattan,11.00,2.20,0.00,-2.00,1.8,1
invalid_datetime,2024-12-01 09:00:00,Queens,Manhattan,20.00,4.00,0.00,26.50,5.5,1
