Year,Country,Sport,Medal,Athlete
2020,USA,Swimming,Gold,Caeleb Dressel
2020,USA,Swimming,Gold,Katie Ledecky
2020,USA,Athletics,Gold,Sydney McLaughlin
2020,CHN,Diving,Gold,Quan Hongchan
2020,CHN,Weightlifting,Gold,Li Fabin
2020,GBR,Athletics,Gold,Jason Kenny
2020,JPN,Judo,Gold,Naohisa Takato
2020,AUS,Swimming,Gold,Emma McKeon
2016,USA,Swimming,Gold,Michael Phelps
2016,USA,Swimming,Silver,Ryan Murphy
2016,USA,Gymnastics,Gold,Simone Biles
2016,JAM,Athletics,Gold,Usain Bolt
2016,CHN,Diving,Gold,Chen Aisen
2016,GBR,Cycling,Gold,Jason Kenny
2016,RUS,Gymnastics,Silver,Aliya Mustafina
2016,BRA,Football,Gold,Neymar
2012,USA,Swimming,Gold,Michael Phelps
2012,USA,Athletics,Gold,Allyson Felix
2012,JAM,Athletics,Gold,Usain Bolt
2012,CHN,Diving,Gold,Wu Minxia
2012,GBR,Athletics,Gold,Mo Farah
2012,KEN,Athletics,Silver,David Rudisha
2012,RUS,Gymnastics,Bronze,Viktoria Komova
2008,USA,Swimming,Gold,Michael Phelps
2008,USA,Basketball,Gold,Kobe Bryant
2008,CHN,Diving,Gold,Guo Jingjing
2008,CHN,Gymnastics,Gold,Yang Wei
2008,JAM,Athletics,Gold,Usain Bolt
2008,AUS,Swimming,Silver,Stephanie Rice
2008,GBR,Cycling,Gold,Chris Hoy
2004,USA,Swimming,Gold,Michael Phelps
2004,USA,Athletics,Silver,Justin Gatlin
2004,CHN,Diving,Gold,Tian Liang
2004,AUS,Swimming,Gold,Ian Thorpe
2004,GRE,Athletics,Bronze,Konstantinos Kenteris
2004,RUS,Gymnastics,Gold,Alexei Nemov
2000,USA,Swimming,Gold,Ian Crocker
2000,USA,Athletics,Bronze,Marion Jones
2000,AUS,Swimming,Gold,Ian Thorpe
2000,AUS,Athletics,Silver,Cathy Freeman
2000,CHN,Diving,Gold,Fu Mingxia
2000,RUS,Gymnastics,Gold,Svetlana Khorkina
2000,CUB,Boxing,Gold,Felix Savon
