checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,target
0<=X<200,70,existing paid,used car,15344,100<=X<500,1<=X<4,1,male single,none,2,real estate,53,none,for free,1,skilled,2,none,yes,good
no checking,23,existing paid,used car,8185,>=1000,>=7,4,male single,none,4,real estate,35,none,own,1,skilled,1,none,yes,bad
no checking,65,critical/other existing credit,business,2925,<100,>=7,3,male single,none,4,car,30,bank,own,1,unskilled resident,1,none,yes,bad
>=200,61,critical/other existing credit,used car,11490,100<=X<500,<1,2,female div/dep/mar,none,3,car,54,none,own,1,skilled,1,none,yes,bad
<0,25,critical/other existing credit,used car,4255,<100,<1,4,male single,none,2,life insurance,70,none,own,1,skilled,1,none,yes,bad
<0,70,delayed previously,radio/tv,6794,no known savings,1<=X<4,4,female div/dep/mar,guarantor,4,life insurance,66,none,own,2,high qualif/self emp/mgmt,1,yes,yes,good
<0,51,delayed previously,furniture/equipment,17582,no known savings,1<=X<4,2,male single,none,2,car,42,none,own,2,unskilled resident,1,yes,yes,good
no checking,11,critical/other existing credit,radio/tv,14638,<100,1<=X<4,4,male single,none,2,real estate,28,none,own,1,skilled,1,yes,yes,good
>=200,18,existing paid,new car,15209,100<=X<500,4<=X<7,2,female div/dep/mar,none,2,real estate,48,none,own,1,skilled,1,yes,yes,bad
no checking,35,existing paid,furniture/equipment,1944,<100,unemployed,2,male single,none,4,real estate,47,bank,own,2,skilled,1,none,no,bad
<0,56,existing paid,new car,15003,<100,unemployed,3,female div/dep/mar,none,2,real estate,57,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
no checking,70,critical/other existing credit,new car,16776,<100,1<=X<4,4,male single,none,1,car,28,none,own,2,skilled,1,yes,yes,good
no checking,7,critical/other existing credit,business,6251,<100,4<=X<7,4,male single,guarantor,3,real estate,57,none,rent,3,high qualif/self emp/mgmt,1,yes,yes,good
<0,33,no credits/all paid,new car,6902,<100,<1,4,male single,none,2,real estate,73,none,rent,2,skilled,2,none,yes,bad
<0,16,delayed previously,radio/tv,15235,100<=X<500,4<=X<7,4,female div/dep/mar,none,3,life insurance,46,none,own,3,skilled,1,yes,yes,good
<0,24,critical/other existing credit,furniture/equipment,4831,<100,1<=X<4,2,female div/dep/mar,none,3,no known property,36,none,rent,2,unemp/unskilled non res,1,yes,yes,bad
0<=X<200,44,existing paid,furniture/equipment,5337,500<=X<1000,>=7,1,male div/sep,none,2,real estate,59,none,rent,1,unemp/unskilled non res,1,yes,yes,good
0<=X<200,22,existing paid,retraining,1710,<100,>=7,3,female div/dep/mar,none,1,real estate,72,none,own,1,skilled,1,yes,yes,good
0<=X<200,51,critical/other existing credit,new car,4137,<100,1<=X<4,2,male single,none,2,life insurance,68,none,rent,1,unskilled resident,1,none,yes,bad
0<=X<200,66,no credits/all paid,radio/tv,15128,>=1000,<1,4,male single,none,4,car,35,none,own,1,skilled,1,yes,yes,good
no checking,23,delayed previously,business,8734,<100,1<=X<4,4,male single,none,4,car,29,none,own,2,unskilled resident,2,yes,yes,bad
<0,67,existing paid,radio/tv,10085,<100,1<=X<4,4,male single,none,2,car,19,none,own,1,unskilled resident,1,none,yes,bad
0<=X<200,40,critical/other existing credit,business,15893,100<=X<500,4<=X<7,2,male mar/wid,none,1,no known property,35,none,own,2,high qualif/self emp/mgmt,2,yes,yes,good
0<=X<200,34,critical/other existing credit,new car,11160,<100,>=7,3,male single,none,1,car,54,none,own,1,unemp/unskilled non res,1,none,no,bad
0<=X<200,21,critical/other existing credit,furniture/equipment,17471,<100,4<=X<7,3,male mar/wid,none,4,car,54,none,own,1,skilled,1,none,yes,good
no checking,23,existing paid,used car,6096,<100,>=7,2,male single,none,4,life insurance,64,none,own,2,unskilled resident,1,none,yes,good
<0,14,critical/other existing credit,radio/tv,8713,no known savings,1<=X<4,4,female div/dep/mar,none,2,real estate,27,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
0<=X<200,47,critical/other existing credit,business,13586,100<=X<500,<1,3,female div/dep/mar,none,4,no known property,63,none,rent,2,high qualif/self emp/mgmt,1,none,yes,good
>=200,67,existing paid,used car,2619,100<=X<500,4<=X<7,3,male single,none,4,life insurance,46,none,for free,2,skilled,1,yes,yes,good
<0,37,critical/other existing credit,radio/tv,14242,100<=X<500,1<=X<4,2,female div/dep/mar,none,4,real estate,66,none,own,1,skilled,2,none,yes,bad
no checking,68,no credits/all paid,new car,1132,<100,4<=X<7,1,female div/dep/mar,none,1,car,51,none,own,1,unemp/unskilled non res,1,none,yes,good
<0,58,existing paid,radio/tv,3421,<100,1<=X<4,3,male single,none,2,life insurance,21,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
<0,4,existing paid,furniture/equipment,2290,500<=X<1000,<1,2,male single,none,1,car,69,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
no checking,41,existing paid,business,6622,<100,>=7,1,male single,none,4,car,26,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
no checking,12,all paid,radio/tv,7812,<100,<1,2,female div/dep/mar,none,4,life insurance,68,none,own,1,skilled,1,yes,yes,good
no checking,20,delayed previously,furniture/equipment,12026,<100,>=7,2,male single,none,3,car,24,bank,own,2,skilled,1,yes,yes,good
0<=X<200,55,existing paid,new car,6150,<100,>=7,3,male single,none,1,real estate,70,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
<0,21,critical/other existing credit,new car,8215,no known savings,>=7,1,male mar/wid,none,2,life insurance,24,none,own,2,skilled,1,none,yes,bad
no checking,66,all paid,new car,8715,<100,4<=X<7,3,male single,none,2,car,47,none,own,2,skilled,2,yes,yes,bad
0<=X<200,36,existing paid,used car,839,<100,4<=X<7,4,male mar/wid,none,3,car,55,none,own,2,unskilled resident,1,yes,yes,good
<0,7,existing paid,education,5313,<100,>=7,4,male single,none,2,car,30,none,rent,2,high qualif/self emp/mgmt,1,none,yes,good
0<=X<200,55,critical/other existing credit,radio/tv,16490,no known savings,1<=X<4,4,male single,none,1,life insurance,27,none,own,1,unskilled resident,1,yes,yes,bad
<0,12,existing paid,radio/tv,1508,<100,1<=X<4,3,female div/dep/mar,none,4,car,59,bank,for free,3,skilled,1,yes,yes,good
no checking,67,delayed previously,new car,13848,<100,4<=X<7,3,male single,none,2,real estate,67,none,own,1,skilled,1,yes,yes,bad
<0,33,critical/other existing credit,education,3116,500<=X<1000,1<=X<4,4,male single,none,3,no known property,37,none,own,2,skilled,1,none,yes,bad
no checking,11,existing paid,radio/tv,17205,100<=X<500,1<=X<4,3,male single,none,1,life insurance,35,bank,rent,1,skilled,1,yes,yes,good
