cart_id,click_id,user_id,timestamp,product_category,item_price
CRT001,CLK001,U001,2023-10-01T09:25:00,electronics,299.99
CRT002,CLK002,U002,2023-10-02T10:40:00,computers,899.99
CRT003,CLK003,U003,2023-10-03T11:55:00,accessories,49.99
CRT004,CLK004,U004,2023-10-05T14:10:00,electronics,199.99
CRT005,CLK005,U007,2023-10-12T09:10:00,electronics,549.99
CRT006,CLK007,U010,2023-10-20T15:40:00,electronics,399.99
CRT007,CLK010,U001,2023-11-01T10:10:00,accessories,79.99
CRT008,CLK011,U002,2023-11-03T12:25:00,electronics,349.99
CRT009,CLK013,U005,2023-11-10T11:10:00,electronics,249.99
CRT010,CLK015,U010,2023-11-22T15:25:00,accessories,59.99
CRT011,CLK017,U013,2023-12-01T11:40:00,accessories,89.99
CRT012,CLK018,U014,2023-12-03T08:10:00,electronics,449.99
CRT013,CLK020,U006,2023-12-15T14:10:00,electronics,599.99
CRT014,CLK023,U012,2023-12-27T09:25:00,electronics,179.99
CRT015,CLK024,U015,2023-10-08T11:40:00,electronics,329.99
CRT002,CLK002,U002,2023-10-02T10:40:00,computers,899.99
CRT017,CLK027,U005,2023-10-07T08:30:00,computers,749.99
CRT018,CLK025,,2023-11-14T09:10:00,computers,1099.99
CRT019,CLK029,U017,2023-12-20T15:10:00,accessories,34.99
