click_id,impression_id,user_id,timestamp,product_category
CLK001,IMP001,U001,2023-10-01T09:20:00,electronics
CLK002,IMP002,U002,2023-10-02T10:35:00,computers
CLK003,IMP003,U003,2023-10-03T11:50:00,accessories
CLK004,IMP004,U004,2023-10-05T14:05:00,electronics
CLK005,IMP007,U007,2023-10-12T09:05:00,electronics
CLK006,IMP008,U008,2023-10-15T13:50:00,computers
CLK007,IMP010,U010,2023-10-20T15:35:00,electronics
CLK008,IMP011,U011,2023-10-22T11:05:00,computers
CLK009,IMP013,U013,2023-10-28T14:25:00,electronics
CLK010,IMP015,U001,2023-11-01T10:05:00,accessories
CLK011,IMP016,U002,2023-11-03T12:20:00,electronics
CLK012,IMP017,U003,2023-11-05T14:35:00,computers
CLK013,IMP019,U005,2023-11-10T11:05:00,electronics
CLK014,IMP022,U008,2023-11-18T13:05:00,electronics
CLK015,IMP024,U010,2023-11-22T15:20:00,accessories
CLK016,IMP025,U011,2023-11-25T09:35:00,electronics
CLK017,IMP027,U013,2023-12-01T11:35:00,accessories
CLK018,IMP028,U014,2023-12-03T08:05:00,electronics
CLK019,IMP031,U003,2023-12-09T15:50:00,electronics
CLK020,IMP034,U006,2023-12-15T14:05:00,electronics
CLK021,IMP036,U008,2023-12-19T16:20:00,accessories
CLK022,IMP039,U011,2023-12-25T13:35:00,accessories
CLK023,IMP040,U012,2023-12-27T09:20:00,electronics
CLK024,IMP043,U015,2023-10-08T11:35:00,electronics
CLK025,IMP044,U016,2023-11-14T09:05:00,computers
CLK002,IMP002,U002,2023-10-02T10:35:00,computers
CLK027,IMP005,U005,2023-10-07T08:25:00,computers
CLK028,,U009,2023-10-18T10:15:00,accessories
CLK029,IMP045,U017,2023-12-20T15:05:00,accessories
