impression_id,user_id,timestamp,traffic_source,device_type,product_category
IMP001,U001,2023-10-01T09:15:00,organic,desktop,electronics
IMP002,U002,2023-10-02T10:30:00,paid_search,mobile,computers
IMP003,U003,2023-10-03T11:45:00,social,tablet,accessories
IMP004,U004,2023-10-05T14:00:00,email,desktop,electronics
IMP005,U005,2023-10-07T08:20:00,direct,mobile,computers
IMP006,U006,2023-10-10T16:30:00,organic,tablet,accessories
IMP007,U007,2023-10-12T09:00:00,paid_search,desktop,electronics
IMP008,U008,2023-10-15T13:45:00,social,mobile,computers
IMP009,U009,2023-10-18T10:10:00,email,tablet,accessories
IMP010,U010,2023-10-20T15:30:00,direct,desktop,electronics
IMP011,U011,2023-10-22T11:00:00,organic,mobile,computers
IMP012,U012,2023-10-25T08:45:00,paid_search,tablet,accessories
IMP013,U013,2023-10-28T14:20:00,social,desktop,electronics
IMP014,U014,2023-10-30T09:30:00,email,mobile,computers
IMP015,U001,2023-11-01T10:00:00,organic,desktop,accessories
IMP016,U002,2023-11-03T12:15:00,paid_search,mobile,electronics
IMP017,U003,2023-11-05T14:30:00,social,tablet,computers
IMP018,U004,2023-11-08T09:45:00,email,desktop,accessories
IMP019,U005,2023-11-10T11:00:00,direct,mobile,electronics
IMP020,U006,2023-11-12T16:00:00,organic,tablet,computers
IMP021,U007,2023-11-15T08:30:00,paid_search,desktop,accessories
IMP022,U008,2023-11-18T13:00:00,social,mobile,electronics
IMP023,U009,2023-11-20T10:45:00,email,tablet,computers
IMP024,U010,2023-11-22T15:15:00,direct,desktop,accessories
IMP025,U011,2023-11-25T09:30:00,organic,mobile,electronics
IMP026,U012,2023-11-28T14:00:00,paid_search,tablet,computers
IMP027,U013,2023-12-01T11:30:00,social,desktop,accessories
IMP028,U014,2023-12-03T08:00:00,email,mobile,electronics
IMP029,U001,2023-12-05T10:15:00,direct,tablet,computers
IMP030,U002,2023-12-07T13:30:00,organic,desktop,accessories
IMP031,U003,2023-12-09T15:45:00,paid_search,mobile,electronics
IMP032,U004,2023-12-11T09:00:00,social,tablet,computers
IMP033,U005,2023-12-13T12:30:00,email,desktop,accessories
IMP034,U006,2023-12-15T14:00:00,direct,mobile,electronics
IMP035,U007,2023-12-17T10:30:00,organic,tablet,computers
IMP036,U008,2023-12-19T16:15:00,paid_search,desktop,accessories
IMP037,U009,2023-12-21T08:45:00,social,mobile,electronics
IMP038,U010,2023-12-23T11:00:00,email,tablet,computers
IMP039,U011,2023-12-25T13:30:00,direct,desktop,accessories
IMP040,U012,2023-12-27T09:15:00,organic,mobile,electronics
IMP041,U013,2023-12-28T14:45:00,paid_search,tablet,computers
IMP042,U014,2023-12-29T10:00:00,social,desktop,accessories
IMP043,U015,2023-10-08T11:30:00,organic,desktop,electronics
IMP044,U016,2023-11-14T09:00:00,direct,mobile,computers
IMP045,U017,2023-12-20T15:00:00,email,tablet,accessories
IMP002,U002,2023-10-02T10:30:00,paid_search,mobile,computers
IMP007,U007,2023-10-12T09:00:00,paid_search,desktop,electronics
IMP048,U018,,social,desktop,electronics
IMP049,,2023-11-11T10:00:00,organic,mobile,computers
IMP050,U020,2023-12-10T14:00:00,,desktop,accessories
