purchase_id,cart_id,user_id,timestamp,product_category,amount
PUR001,CRT001,U001,2023-10-01T09:30:00,electronics,299.99
PUR002,CRT002,U002,2023-10-02T10:45:00,computers,899.99
PUR003,CRT003,U003,2023-10-03T12:00:00,accessories,49.99
PUR004,CRT005,U007,2023-10-12T09:15:00,electronics,549.99
PUR005,CRT006,U010,2023-10-20T15:45:00,electronics,399.99
PUR006,CRT008,U002,2023-11-03T12:30:00,electronics,349.99
PUR007,CRT009,U005,2023-11-10T11:15:00,electronics,249.99
PUR008,CRT011,U013,2023-12-01T11:45:00,accessories,89.99
PUR009,CRT012,U014,2023-12-03T08:15:00,electronics,449.99
PUR010,CRT013,U006,2023-12-15T14:15:00,electronics,599.99
PUR011,CRT014,U012,2023-12-27T09:30:00,electronics,179.99
PUR002,CRT002,U002,2023-10-02T10:45:00,computers,899.99
PUR013,CRT017,U005,2023-10-07T08:35:00,computers,749.99
PUR014,CRT019,U017,2023-12-20T15:15:00,accessories,34.99
PUR015,,U001,2023-11-01T10:15:00,accessories,79.99
