tpep_pickup_datetime,tpep_dropoff_datetime,PULocationID,DOLocationID,trip_distance,passenger_count
2023-01-15 08:30:00,2023-01-15 08:55:00,161,237,2.5,1.0
2023-01-15 09:00:00,2023-01-15 09:20:00,162,230,1.8,2.0
2023-01-15 07:45:00,2023-01-15 08:10:00,161,140,3.1,1.0
2023-01-15 17:30:00,2023-01-15 18:15:00,237,161,2.0,1.0
2023-01-15 18:00:00,2023-01-15 18:50:00,230,162,1.5,3.0
2023-01-15 12:00:00,2023-01-15 12:10:00,48,142,4.5,1.0
2023-01-15 12:30:00,2023-01-15 12:45:00,142,48,5.2,2.0
2023-01-15 14:00:00,2023-01-15 14:25:00,236,263,3.8,1.0
2023-01-15 06:00:00,2023-01-15 06:08:00,132,45,6.0,1.0
2023-01-15 22:00:00,2023-01-15 22:12:00,138,170,8.5,1.0
2023-01-16 08:15:00,2023-01-16 08:50:00,161,237,1.9,1.0
2023-01-16 08:45:00,2023-01-16 09:30:00,237,161,2.2,2.0
2023-01-16 09:00:00,2023-01-16 09:25:00,162,140,1.6,1.0
2023-01-16 17:00:00,2023-01-16 17:45:00,230,236,1.3,1.0
2023-01-16 17:30:00,2023-01-16 18:20:00,161,230,1.1,2.0
2023-01-16 12:00:00,2023-01-16 12:15:00,48,263,5.8,1.0
2023-01-16 13:00:00,2023-01-16 13:12:00,142,132,7.2,1.0
2023-01-16 20:00:00,2023-01-16 20:08:00,138,45,5.5,1.0
2023-01-16 21:00:00,2023-01-16 21:15:00,170,48,9.0,2.0
2023-01-16 06:30:00,2023-01-16 06:38:00,45,138,6.8,1.0
2023-01-17 08:00:00,2023-01-17 08:40:00,161,237,1.7,1.0
2023-01-17 08:30:00,2023-01-17 09:10:00,237,162,2.0,1.0
2023-01-17 09:15:00,2023-01-17 09:40:00,162,161,1.4,3.0
2023-01-17 17:00:00,2023-01-17 17:50:00,230,140,1.2,1.0
2023-01-17 17:45:00,2023-01-17 18:30:00,161,236,1.0,2.0
2023-01-17 12:00:00,2023-01-17 12:08:00,48,142,4.0,1.0
2023-01-17 14:00:00,2023-01-17 14:10:00,142,48,5.0,1.0
2023-01-17 19:00:00,2023-01-17 19:10:00,132,170,7.5,1.0
2023-01-17 22:00:00,2023-01-17 22:10:00,138,45,7.0,1.0
2023-01-17 06:00:00,2023-01-17 06:07:00,45,132,5.5,1.0
2023-01-18 08:00:00,2023-01-18 08:35:00,161,237,1.5,1.0
2023-01-18 08:30:00,2023-01-18 09:05:00,237,140,2.3,2.0
2023-01-18 09:00:00,2023-01-18 09:20:00,162,236,1.8,1.0
2023-01-18 17:00:00,2023-01-18 17:55:00,230,161,1.4,1.0
2023-01-18 18:00:00,2023-01-18 18:45:00,161,162,1.1,1.0
2023-01-18 12:00:00,2023-01-18 12:12:00,48,263,5.5,2.0
2023-01-18 13:30:00,2023-01-18 13:42:00,142,132,6.0,1.0
2023-01-18 20:00:00,2023-01-18 20:09:00,138,170,6.5,1.0
2023-01-18 21:30:00,2023-01-18 21:42:00,170,45,8.0,1.0
2023-01-18 06:15:00,2023-01-18 06:22:00,45,48,5.0,1.0
2023-01-19 08:00:00,2023-01-19 08:45:00,161,237,1.6,1.0
2023-01-19 09:00:00,2023-01-19 09:35:00,237,161,2.1,2.0
2023-01-19 09:30:00,2023-01-19 09:55:00,162,140,1.5,1.0
2023-01-19 17:00:00,2023-01-19 17:50:00,230,236,1.2,1.0
