Date,Close
2019-01-02,35.0
2019-01-03,35.56
2019-01-04,35.44
2019-01-07,36.17
2019-01-08,37.89
2019-01-09,37.66
2019-01-10,37.43
2019-01-11,39.27
2019-01-14,40.22
2019-01-15,39.7
2019-01-16,40.38
2019-01-17,39.86
2019-01-18,39.34
2019-01-21,39.66
2019-01-22,37.48
2019-01-23,35.62
2019-01-24,35.05
2019-01-25,34.03
2019-01-28,34.39
2019-01-29,33.49
2019-01-30,32.13
2019-01-31,33.6
2019-02-01,33.4
2019-02-04,33.5
2019-02-05,32.13
2019-02-06,31.63
2019-02-07,31.77
2019-02-08,30.72
2019-02-11,31.09
2019-02-12,30.56
2019-02-13,30.32
2019-02-14,29.8
2019-02-15,31.53
2019-02-18,31.55
2019-02-19,30.59
2019-02-20,31.38
2019-02-21,30.28
2019-02-22,30.5
2019-02-25,28.78
2019-02-26,27.68
2019-02-27,27.87
2019-02-28,28.52
2019-03-01,28.69
2019-03-04,28.61
2019-03-05,28.38
2019-03-06,27.17
2019-03-07,26.61
2019-03-08,26.27
2019-03-11,27.14
2019-03-12,27.45
2019-03-13,26.05
2019-03-14,26.33
2019-03-15,26.05
2019-03-18,25.55
2019-03-19,26.05
2019-03-20,26.89
2019-03-21,27.67
2019-03-22,27.01
2019-03-25,26.78
2019-03-26,27.07
2019-03-27,27.9
2019-03-28,27.53
2019-03-29,27.4
2019-04-01,26.52
2019-04-02,25.61
2019-04-03,26.27
2019-04-04,27.38
2019-04-05,27.34
2019-04-08,28.2
2019-04-09,28.54
2019-04-10,28.01
2019-04-11,28.34
2019-04-12,29.71
2019-04-15,29.7
2019-04-16,31.16
2019-04-17,28.83
2019-04-18,29.57
2019-04-19,29.67
2019-04-22,29.43
2019-04-23,29.54
2019-04-24,27.85
2019-04-25,27.7
2019-04-26,28.02
2019-04-29,29.31
2019-04-30,28.89
2019-05-01,28.22
2019-05-02,27.82
2019-05-03,28.62
2019-05-06,28.93
2019-05-07,28.5
2019-05-08,28.96
2019-05-09,29.07
2019-05-10,29.96
2019-05-13,29.36
2019-05-14,29.09
2019-05-15,28.78
2019-05-16,27.57
2019-05-17,27.84
2019-05-20,28.08
2019-05-21,28.11
2019-05-22,27.94
2019-05-23,26.8
2019-05-24,26.48
2019-05-27,26.24
2019-05-28,25.63
2019-05-29,25.53
2019-05-30,25.87
2019-05-31,27.39
2019-06-03,27.56
2019-06-04,27.8
2019-06-05,27.76
2019-06-06,26.23
2019-06-07,26.23
2019-06-10,26.3
2019-06-11,28.35
2019-06-12,28.21
2019-06-13,28.49
2019-06-14,28.48
2019-06-17,27.52
2019-06-18,28.51
2019-06-19,29.18
2019-06-20,29.91
2019-06-21,29.13
2019-06-24,30.41
2019-06-25,29.18
2019-06-26,29.73
2019-06-27,31.77
2019-06-28,30.87
2019-07-01,30.37
2019-07-02,30.49
2019-07-03,30.06
2019-07-04,28.72
2019-07-05,28.8
2019-07-08,27.92
2019-07-09,28.35
2019-07-10,27.6
2019-07-11,28.94
2019-07-12,28.29
2019-07-15,28.04
2019-07-16,28.76
2019-07-17,27.74
2019-07-18,27.96
2019-07-19,29.1
2019-07-22,27.75
2019-07-23,27.93
2019-07-24,28.17
2019-07-25,28.87
2019-07-26,27.84
2019-07-29,26.78
2019-07-30,27.23
2019-07-31,27.49
2019-08-01,27.73
2019-08-02,28.04
2019-08-05,27.5
2019-08-06,27.71
2019-08-07,27.98
2019-08-08,27.41
2019-08-09,29.02
2019-08-12,29.46
2019-08-13,28.45
2019-08-14,29.04
2019-08-15,28.23
2019-08-16,28.92
2019-08-19,29.97
2019-08-20,29.27
2019-08-21,30.15
2019-08-22,30.56
2019-08-23,31.35
2019-08-26,33.21
2019-08-27,32.99
2019-08-28,32.28
2019-08-29,31.46
2019-08-30,30.73
2019-09-02,30.68
2019-09-03,31.02
2019-09-04,31.31
2019-09-05,32.12
2019-09-06,32.16
2019-09-09,33.63
2019-09-10,33.39
2019-09-11,36.26
2019-09-12,36.98
2019-09-13,36.07
2019-09-16,34.96
2019-09-17,35.5
2019-09-18,35.29
2019-09-19,36.09
2019-09-20,36.64
2019-09-23,36.59
2019-09-24,35.7
2019-09-25,34.15
2019-09-26,33.72
2019-09-27,34.63
2019-09-30,34.88
2019-10-01,33.63
2019-10-02,33.83
2019-10-03,34.26
2019-10-04,33.39
2019-10-07,33.57
2019-10-08,33.66
2019-10-09,32.55
2019-10-10,32.93
2019-10-11,33.52
2019-10-14,34.66
