incident_id,date,crime_type
10001,01/01/2022,DRUG OFFENSE
10002,01/01/2022,THEFT
10003,01/01/2022,FRAUD
10004,01/01/2022,THEFT
10005,01-Jan-2022,FRAUD
10006,01/01/2022,BURGLARY
10007,01-Jan-2022,DRUG OFFENSE
10008,01/01/2022,DRUG OFFENSE
10009,2022-01-01,FRAUD
10010,01/01/2022,THEFT
10011,01/01/2022,BURGLARY
10012,01/01/2022,THEFT
10013,2022-01-01,DRUG OFFENSE
10014,2022-01-01,THEFT
10015,01/01/2022,OTHER
10016,01/01/2022,FRAUD
10017,01-Jan-2022,DRUG OFFENSE
10018,2022-01-01,OTHER
10019,01-Jan-2022,THEFT
10020,01-Jan-2022,ASSAULT
10021,01/01/2022,BURGLARY
10022,01-Jan-2022,DRUG OFFENSE
10023,2022-01-01,DRUG OFFENSE
10024,01-Jan-2022,ROBBERY
10025,01/01/2022,FRAUD
10026,2022-01-01,FRAUD
10027,01-Jan-2022,THEFT
10028,01-Jan-2022,ROBBERY
10029,2022-01-01,BURGLARY
10030,01/01/2022,OTHER
10031,2022-01-01,BURGLARY
10032,01-Jan-2022,FRAUD
10033,01/01/2022,DRUG OFFENSE
10034,01-Jan-2022,ASSAULT
10035,2022-01-01,ASSAULT
10036,01/01/2022,DRUG OFFENSE
10037,01/02/2022,DRUG OFFENSE
10038,01/02/2022,FRAUD
10039,01/02/2022,OTHER
10040,2022-01-02,FRAUD
10041,2022-01-02,BURGLARY
10042,01/02/2022,BURGLARY
10043,02-Jan-2022,ROBBERY
10044,2022-01-02,THEFT
10045,01/02/2022,VANDALISM
10046,2022-01-02,VANDALISM
10047,2022-01-02,BURGLARY
10048,02-Jan-2022,ASSAULT
10049,02-Jan-2022,DRUG OFFENSE
10050,2022-01-02,OTHER
10051,01/02/2022,OTHER
10052,01/02/2022,THEFT
10053,02-Jan-2022,FRAUD
10054,01/02/2022,BURGLARY
10055,2022-01-02,ASSAULT
10056,01/02/2022,FRAUD
10057,01/02/2022,ROBBERY
10058,01/02/2022,FRAUD
10059,2022-01-02,THEFT
10060,02-Jan-2022,ROBBERY
10061,01/02/2022,THEFT
10062,01/02/2022,ROBBERY
10063,01/02/2022,FRAUD
10064,02-Jan-2022,BURGLARY
10065,2022-01-02,BURGLARY
10066,2022-01-02,DRUG OFFENSE
10067,01/02/2022,OTHER
10068,02-Jan-2022,ROBBERY
10069,02-Jan-2022,THEFT
10070,01/02/2022,OTHER
10071,2022-01-02,ASSAULT
10072,01/03/2022,DRUG OFFENSE
10073,2022-01-03,ROBBERY
10074,2022-01-03,ROBBERY
10075,2022-01-03,THEFT
10076,2022-01-03,VANDALISM
10077,01/03/2022,DRUG OFFENSE
10078,01/03/2022,VANDALISM
10079,03-Jan-2022,VANDALISM
10080,2022-01-03,THEFT
10081,01/03/2022,DRUG OFFENSE
10082,03-Jan-2022,OTHER
10083,01/03/2022,FRAUD
10084,01/03/2022,OTHER
10085,2022-01-03,OTHER
10086,03-Jan-2022,OTHER
10087,01/04/2022,VANDALISM
10088,01/04/2022,THEFT
10089,2022-01-04,THEFT
10090,2022-01-04,BURGLARY
10091,01/04/2022,BURGLARY
10092,2022-01-04,FRAUD
10093,04-Jan-2022,THEFT
10094,04-Jan-2022,VANDALISM
10095,01/04/2022,THEFT
10096,01/04/2022,DRUG OFFENSE
