date,temp_max_f,temp_min_f,precipitation_in,humidity_pct,wind_speed_mph
2022-01-01,30.3,17.3,0.2,84.2,4.2
2022-01-02,32.2,24.7,0,69.8,8.4
2022-01-03,35.9,24.7,0.66,61.1,6.8
2022-01-04,30.9,19.2,0,71.7,3.5
2022-01-05,39.7,18.9,0,50.9,2.1
2022-01-06,32.3,23.3,0,69.6,9.4
2022-01-07,33.6,17.9,0.18,71.4,13.3
2022-01-08,31.6,17.0,0,81.4,7.6
2022-01-09,37.8,14.9,0.38,62.6,7.7
2022-01-10,36.6,21.2,0.33,74.3,5.7
2022-01-11,32.6,19.9,0.36,50.9,10.7
2022-01-12,31.1,25.3,1.14,64.1,4.0
2022-01-13,35.3,17.9,0.15,58.3,6.9
2022-01-14,31.1,18.2,0,24.4,10.8
2022-01-15,31.8,22.5,0.29,50.8,4.5
2022-01-16,,19.8,0,73.3,8.0
2022-01-17,38.3,15.1,0.7,71.0,9.6
2022-01-18,37.7,15.2,0.08,41.3,8.8
2022-01-19,32.1,21.0,0.09,50.0,3.1
2022-01-20,31.2,18.2,1.03,49.5,12.5
2022-01-21,36.3,22.7,0.61,43.4,10.7
2022-01-22,39.4,24.1,0.22,34.1,9.2
2022-01-23,34.3,23.6,0,65.0,2.7
2022-01-24,38.6,20.1,0,66.0,12.1
2022-01-25,39.2,22.2,0.36,45.5,22.5
2022-01-26,38.5,13.7,0.48,49.6,8.2
2022-01-27,39.9,19.8,0.19,43.9,0
2022-01-28,31.5,16.6,0.47,79.4,7.0
2022-01-29,35.8,24.4,0.23,53.0,9.6
2022-01-30,32.4,16.0,0.09,68.7,6.1
2022-01-31,35.8,20.9,0.31,56.0,7.4
2022-02-01,38.2,28.5,0,74.9,9.9
2022-02-02,37.1,27.9,0.69,47.4,10.8
2022-02-03,41.1,25.9,0,58.9,7.6
2022-02-04,44.4,21.2,0.23,64.7,5.0
2022-02-05,41.3,26.5,0.04,27.5,8.6
2022-02-06,37.8,22.8,0.18,38.8,7.5
2022-02-07,35.8,32.2,0.61,75.5,5.1
2022-02-08,36.3,27.4,0.55,44.1,13.5
2022-02-09,42.8,31.3,0,42.6,11.1
2022-02-10,44.8,23.2,0.17,57.7,7.7
2022-02-11,43.1,20.0,0,61.7,6.1
2022-02-12,43.2,27.5,0,85.1,8.1
2022-02-13,44.7,20.0,0.19,50.4,4.9
2022-02-14,36.2,23.4,0.45,94.6,7.8
2022-02-15,41.1,26.9,0.26,45.2,11.5
2022-02-16,44.3,30.2,0.03,35.8,6.2
2022-02-17,38.1,28.8,0,57.6,4.7
2022-02-18,38.0,23.7,0,77.1,4.2
2022-02-19,35.0,23.2,0,42.1,10.2
2022-02-20,37.1,25.4,0.56,44.4,8.8
2022-02-21,43.2,28.2,0.23,55.0,5.5
2022-02-22,39.8,29.7,0.4,66.9,6.2
2022-02-23,41.6,24.6,0,60.2,1.1
2022-02-24,44.6,28.3,0.34,63.5,10.6
2022-02-25,41.0,22.8,0,76.0,4.5
2022-02-26,40.5,24.1,0.11,43.0,7.8
2022-02-27,41.3,23.4,0.35,70.9,9.5
2022-02-28,36.4,23.0,0,38.0,11.8
2022-03-01,44.2,35.4,0.24,40.0,4.9
2022-03-02,40.1,30.3,0.13,30.6,12.0
2022-03-03,42.2,27.3,0.03,56.7,8.4
2022-03-04,41.7,30.8,0.41,75.0,11.9
2022-03-05,41.4,28.3,0.17,73.9,9.2
2022-03-06,43.8,28.9,0.23,50.0,8.7
2022-03-07,46.5,33.2,0.15,45.5,2.5
2022-03-08,41.5,32.6,0,43.1,9.2
2022-03-09,47.5,26.6,0.58,76.4,0
2022-03-10,46.8,34.6,0,74.4,13.4
2022-03-11,48.5,27.9,0.33,91.2,15.9
